query,truth,response
Is DuPage County Illinois southeast of Zipcode 60465?,no,no
Is Zipcode 66748 adjacent to and west of Zipcode 66732?,yes,no
Is Clinton County Pennsylvania southwest of Zipcode 17739?,yes,no
Is Zipcode 28435 east of Zipcode 28423?,yes,no
Is The State of Washington adjacent to and northeast of Zipcode 97211?,yes,no
Is Zipcode 01083 northeast of Zipcode 01535?,no,no
Is Zipcode 22620 adjacent to and northwest of Zipcode 22646?,no,no
The State of California contains Zipcode 91105 correct?,yes,no
Is Zipcode 21678 adjacent to and east of Zipcode 21645?,no,no
Is Zipcode 95636 northwest of Zipcode 95223?,yes,no
Is Zipcode 07974 east of Zipcode 07092?,no,yes
Is Bond County Illinois southeast of Zipcode 62069?,yes,no
Dodge County Minnesota intersects with Zipcode 55944 correct?,yes,no
Is Zipcode 71405 adjacent to and southeast of Zipcode 71360?,no,no
Roane County West Virginia has no common ground with Zipcode 25071 correct?,no,yes
Is Zipcode 83522 adjacent to and northeast of Zipcode 83533?,no,yes
Is Zipcode 23313 adjacent to and north of Zipcode 23310?,no,no
Is Zipcode 90037 adjacent to and west of Zipcode 90062?,no,no
Is Zipcode 23917 east of Zipcode 23950?,no,no
Is Hardee County Florida east of Zipcode 33598?,yes,no
Is Zipcode 19707 adjacent to and west of Zipcode 19807?,yes,no
Is Zipcode 16640 adjacent to and southeast of Zipcode 15753?,yes,no
Is Zipcode 04841 adjacent to and north of Zipcode 04856?,no,no
Albany County New York intersects with Zipcode 12304 correct?,yes,yes
Is Zipcode 18914 northwest of Zipcode 18962?,no,yes
Is Ontario County New York east of Zipcode 14423?,yes,no
San Juan County Utah has no common ground with Zipcode 84535 correct?,no,no
Is Zipcode 08080 adjacent to and north of Zipcode 08028?,yes,no
Is Zipcode 54830 adjacent to and northwest of Zipcode 55712?,no,yes
The State of Georgia contains Zipcode 30317 correct?,yes,no
Is Zipcode 92010 adjacent to and west of Zipcode 92078?,yes,no
Is Windham County Connecticut adjacent to and east of Providence County Rhode Isl?,no,yes
The State of New Mexico contains Zipcode 87322 correct?,yes,no
Is Oneida County New York southeast of Zipcode 13320?,no,yes
Is Leavenworth County Kansas west of Zipcode 64053?,yes,yes
Is Zipcode 58492 adjacent to and north of Zipcode 58481?,yes,no
Is Zipcode 49643 adjacent to and northwest of Zipcode 49650?,no,yes
Is Zipcode 76270 adjacent to and east of Zipcode 76230?,yes,no
Is Tulare County California southeast of Zipcode 93727?,yes,yes
Is Zipcode 74075 east of Zipcode 74085?,no,yes
Is Zipcode 43061 adjacent to and southwest of Zipcode 43064?,no,no
Is Zipcode 53034 adjacent to and northwest of Zipcode 53059?,yes,no
Is Zipcode 37869 northwest of Zipcode 24281?,no,no
Is Zipcode 14091 west of Zipcode 14168?,no,yes
Is Charlevoix County Michigan adjacent to and west of Zipcode 49799?,yes,no
Is Shannon County Missouri southwest of Zipcode 63633?,yes,yes
Is Zipcode 18109 northeast of Zipcode 18064?,no,yes
Is The State of Illinois southwest of Zipcode 63117?,no,no
Is Zipcode 38028 adjacent to and east of Zipcode 38060?,no,no
Is Zipcode 77656 adjacent to and south of Zipcode 77616?,yes,no
Is Zipcode 64644 adjacent to and north of Zipcode 64640?,no,no
Eaton County Michigan has no common ground with Zipcode 48837 correct?,no,yes
Is Zipcode 95439 east of Zipcode 95404?,no,yes
Is Zipcode 25119 adjacent to and northeast of Zipcode 25152?,no,no
Is Zipcode 43901 southeast of Zipcode 43935?,no,yes
Is Chaves County New Mexico northeast of Zipcode 88350?,yes,no
Is Zipcode 19009 east of Zipcode 19090?,yes,no
Is Zipcode 56169 adjacent to and southwest of Zipcode 56157?,yes,no
Is Clinton County Missouri northeast of Zipcode 64079?,yes,no
Is Audrain County Missouri west of Zipcode 63381?,yes,no
Trempealeau County Wisconsin is inside of Zipcode 54625 correct?,no,yes
Is The State of West Virginia west of Zipcode 21713?,yes,no
Is Zipcode 71038 adjacent to and northeast of Zipcode 71749?,no,no
Is Zipcode 62422 adjacent to and southeast of Zipcode 62414?,no,yes
Is Zipcode 42324 northeast of Zipcode 42273?,no,yes
Is Zipcode 60020 adjacent to and northeast of Zipcode 60051?,yes,no
Is Zipcode 45102 northeast of Zipcode 41007?,yes,no
Is Zipcode 50632 adjacent to and south of Zipcode 50173?,no,no
Is Randolph County Indiana adjacent to and north of Jay County Indiana?,no,yes
Is Pike County Georgia adjacent to and west of Lamar County Georgia?,yes,yes
Is San Mateo County California east of Zipcode 95132?,no,no
Is Zipcode 19128 southeast of Zipcode 19462?,yes,no
The State of Alabama is inside of Zipcode 36319 correct?,no,no
Is Zipcode 25134 southeast of Zipcode 25083?,no,no
Santa Barbara County California has no common ground with Zipcode 93458 correct?,no,yes
Inyo County California contains Zipcode 93530 correct?,yes,yes
Is Zipcode 97385 west of Zipcode 97358?,yes,yes
Is Zipcode 57050 adjacent to and northeast of Zipcode 57042?,yes,no
Is Zipcode 27551 adjacent to and southwest of Zipcode 27589?,no,no
Is Zipcode 54937 adjacent to and southeast of Zipcode 54979?,yes,no
Pittsburg County Oklahoma is inside of Zipcode 74554 correct?,no,no
Is Mason County Kentucky northwest of Zipcode 45120?,no,no
Is Zipcode 87068 northwest of Zipcode 87121?,no,no
Is Zipcode 12444 adjacent to and west of Zipcode 12452?,no,no
Is Jasper County Illinois west of Zipcode 62451?,yes,yes
Is Zipcode 60561 southeast of Zipcode 60532?,yes,no
Is Zipcode 24015 east of Zipcode 24153?,yes,no
Is Zipcode 37716 adjacent to and east of Zipcode 37710?,yes,no
Is Zipcode 46733 adjacent to and southwest of Zipcode 46773?,yes,yes
Is Zipcode 47141 adjacent to and west of Zipcode 47163?,no,no
Is Zipcode 02632 adjacent to and east of Zipcode 02601?,no,no
Is Zipcode 33067 southeast of Zipcode 33069?,no,no
Is Chambers County Texas east of Zipcode 77530?,yes,no
Is Zipcode 27529 southwest of Zipcode 27591?,yes,no
Is Zipcode 68763 adjacent to and west of Zipcode 68766?,yes,no
Is Fairfield County Connecticut west of Zipcode 07675?,no,no
Is Tuscarawas County Ohio southeast of Zipcode 43977?,no,no
Is Montmorency County Michigan adjacent to and east of Zipcode 49753?,no,no
Is Chester County Pennsylvania east of Zipcode 19113?,no,yes
Is Zipcode 03579 adjacent to and west of Zipcode 04970?,yes,no
Is Zipcode 45679 adjacent to and north of Zipcode 45133?,no,no
Is Zipcode 61517 adjacent to and northwest of Zipcode 61451?,no,no
Is Zipcode 56177 adjacent to and west of Zipcode 56144?,no,no
Is Zipcode 50703 adjacent to and south of Zipcode 50707?,no,yes
Is Zipcode 18414 adjacent to and north of Zipcode 18411?,yes,no
Is Harlan County Kentucky adjacent to and west of The State of Virginia?,yes,no
Is Zipcode 41535 north of Zipcode 41543?,yes,no
Is San Luis Obispo County California east of Zipcode 93276?,no,yes
Is The State of Texas northeast of Zipcode 73061?,no,no
Is The State of South Dakota adjacent to and southeast of Zipcode 58651?,yes,no
Is Zipcode 47265 adjacent to and west of Zipcode 47223?,yes,yes
Is Zipcode 34105 adjacent to and east of Zipcode 34103?,yes,no
Beltrami County Minnesota contains Zipcode 56670 correct?,yes,yes
Oxford County Maine contains Zipcode 04022 correct?,yes,no
Is Park County Colorado adjacent to and southwest of Zipcode 81201?,no,no
Is The State of Kentucky south of Zipcode 47022?,yes,no
Is Zipcode 12833 adjacent to and west of Zipcode 12831?,yes,no
Fresno County California contains Zipcode 93710 correct?,yes,yes
Is Fresno County California northwest of Zipcode 93256?,yes,no
Is Archer County Texas southwest of The State of Oklahoma?,yes,no
Is Zipcode 99605 adjacent to and east of Zipcode 99587?,no,yes
Is Itawamba County Mississippi adjacent to and west of Zipcode 35593?,yes,no
Daggett County Utah is inside of Zipcode 84023 correct?,no,yes
Is Zipcode 56122 adjacent to and northeast of Zipcode 56172?,no,no
Is The State of Iowa adjacent to and southeast of Zipcode 63535?,no,no
Is Zipcode 43130 adjacent to and southeast of Zipcode 43110?,yes,yes
Is Zipcode 70092 adjacent to and northwest of Zipcode 70085?,yes,no
Is Knox County Maine east of Zipcode 04571?,yes,no
Berkeley County South Carolina intersects with Zipcode 29456 correct?,yes,no
Is Allegan County Michigan northwest of Zipcode 49009?,yes,yes
Is The State of Virginia northeast of Zipcode 21216?,no,no
Is Metcalfe County Kentucky adjacent to and west of Adair County Kentucky?,yes,no
Is Zipcode 37857 southeast of Zipcode 37681?,no,yes
Is Zipcode 72471 adjacent to and southeast of Zipcode 72469?,yes,no
Is Mineral County Montana west of Zipcode 83837?,no,yes
Is Zipcode 61422 adjacent to and southwest of Zipcode 61470?,yes,no
Is Zipcode 49442 adjacent to and east of Zipcode 49440?,yes,no
Is Zipcode 25840 adjacent to and southwest of Zipcode 25917?,no,yes
Is Zipcode 48161 northeast of Zipcode 48166?,no,no
Is Zipcode 76943 adjacent to and southwest of Zipcode 76936?,yes,no
Clayton County Georgia intersects with Zipcode 30215 correct?,yes,no
Wexford County Michigan intersects with Zipcode 49633 correct?,yes,no
Is Zipcode 62890 adjacent to and southwest of Zipcode 62951?,no,no
Is Zipcode 15243 adjacent to and south of Zipcode 15241?,no,no
Pitt County North Carolina has no common ground with Zipcode 28513 correct?,no,no
Sangamon County Illinois is inside of Zipcode 62561 correct?,no,no
Cavalier County North Dakota has no common ground with Zipcode 58372 correct?,no,yes
Is Zipcode 11234 northeast of Zipcode 11208?,no,no
Is Zipcode 25063 adjacent to and west of Zipcode 25113?,no,no
Is Sussex County Delaware adjacent to and west of Caroline County Maryl?,no,yes
Is Zipcode 12871 adjacent to and west of Zipcode 12834?,yes,yes
Is Zipcode 46168 adjacent to and northwest of Zipcode 46113?,yes,yes
Is Wagoner County Oklahoma southeast of Zipcode 74129?,yes,yes
Is Zipcode 57772 adjacent to and north of Zipcode 57780?,no,yes
Is Zipcode 54557 adjacent to and southeast of Zipcode 54512?,no,no
Is Zipcode 26591 adjacent to and east of Zipcode 26554?,no,no
Is Zipcode 55113 adjacent to and southeast of Zipcode 55112?,yes,no
Is Zipcode 46254 adjacent to and northwest of Zipcode 46222?,yes,no
Is Tyler County West Virginia adjacent to and east of Zipcode 45767?,yes,no
Is The State of Illinois northwest of Zipcode 42404?,yes,no
Is Zipcode 64427 adjacent to and south of Zipcode 64423?,yes,no
Is Zipcode 67563 adjacent to and north of Zipcode 67109?,yes,no
Is Zipcode 66052 southeast of Zipcode 66061?,no,no
Is Grafton County New Hampshire west of Zipcode 05070?,no,yes
Is Zipcode 29169 adjacent to and west of Zipcode 29201?,yes,no
The State of Illinois contains Zipcode 62266 correct?,yes,no
Is Zipcode 65740 adjacent to and southwest of Zipcode 65616?,no,no
Koochiching County Minnesota is inside of Zipcode 55772 correct?,no,no
Marathon County Wisconsin has no common ground with Zipcode 54488 correct?,no,yes
The State of California is inside of Zipcode 93291 correct?,no,no
Is Zipcode 56663 adjacent to and east of Zipcode 56601?,yes,no
The State of Montana is inside of Zipcode 59727 correct?,no,no
Is Zipcode 76642 adjacent to and north of Zipcode 76687?,yes,no
Is Sumner County Kansas adjacent to and southeast of Zipcode 74647?,no,no
Is Zipcode 71937 adjacent to and west of Zipcode 71972?,yes,no
Is Zipcode 71118 adjacent to and east of Zipcode 71106?,no,no
Is Saint Charles Parish Louisiana southeast of Plaquemines Parish Louisiana?,no,yes
Is Mendocino County California adjacent to and southeast of Sonoma County California?,no,no
Is The State of Washington southwest of Zipcode 97229?,no,no
Is Zipcode 58716 adjacent to and west of Zipcode 58759?,no,no
The State of Illinois contains Zipcode 60201 correct?,yes,yes
Is Pinellas County Florida east of Zipcode 33606?,no,yes
Is Zipcode 22728 adjacent to and south of Zipcode 20187?,yes,no
Is Zipcode 54547 northwest of Zipcode 54559?,no,no
Is Zipcode 04864 southeast of Zipcode 04858?,no,no
Is Zipcode 57436 adjacent to and southwest of Zipcode 57348?,no,no
Crawford County Illinois contains Zipcode 62454 correct?,yes,no
Is Zipcode 10579 adjacent to and south of Zipcode 10547?,no,no
Is Zipcode 80470 adjacent to and west of Zipcode 80448?,no,yes
Is The State of Louisiana southwest of Zipcode 39323?,yes,no
Is White County Arkansas northwest of Zipcode 72530?,no,yes
Is Zipcode 37373 south of Zipcode 37341?,no,no
Is Zipcode 27562 adjacent to and northeast of Zipcode 27502?,no,no
Is Zipcode 53017 adjacent to and west of Zipcode 53022?,yes,no
Is Westchester County New York southwest of Zipcode 10032?,no,no
Is Upshur County West Virginia southeast of Zipcode 26273?,no,no
Is The State of Michigan southwest of Zipcode 60026?,no,no
Is Zipcode 60532 adjacent to and west of Zipcode 60563?,no,no
The State of Ohio contains Zipcode 44481 correct?,yes,yes
Is The State of Louisiana adjacent to and northeast of Zipcode 39180?,no,no
Is Russell County Virginia west of Zipcode 24279?,no,yes
Is Zipcode 75039 adjacent to and west of Zipcode 75038?,no,no
Is Henderson County Kentucky northeast of Zipcode 42459?,yes,yes
The State of North Carolina is inside of Zipcode 27053 correct?,no,no
Ionia County Michigan has no common ground with Zipcode 48861 correct?,no,yes
Curry County New Mexico intersects with Zipcode 88135 correct?,yes,no
Is Amherst County Virginia southwest of Zipcode 24556?,no,yes
Is Columbia County New York adjacent to and north of Dutchess County New York?,yes,no
Is Zipcode 01468 northeast of Zipcode 01366?,yes,no
Is Zipcode 07722 adjacent to and east of Zipcode 07746?,yes,yes
Is Zipcode 75758 adjacent to and west of Zipcode 75756?,no,no
Ballard County Kentucky is inside of Zipcode 42087 correct?,no,no
Is Zipcode 82729 south of Zipcode 82711?,yes,no
Is Norfolk County Massachusetts adjacent to and northeast of Zipcode 02124?,no,no
Is Zipcode 80112 east of Zipcode 80138?,no,no
Is Zipcode 64164 adjacent to and south of Zipcode 64154?,no,yes
Is Zipcode 30173 northwest of Zipcode 30165?,no,no
Is Saint Martin Parish Louisiana southwest of Zipcode 70513?,no,yes
Reeves County Texas contains Zipcode 79785 correct?,yes,no
Is Jefferson County Illinois east of The State of Kentucky?,no,no
Is Meeker County Minnesota adjacent to and east of Zipcode 55321?,no,yes
Is Zipcode 10516 adjacent to and south of Zipcode 10524?,no,no
Is Zipcode 79024 adjacent to and west of Zipcode 79034?,yes,yes
Is Zipcode 35125 adjacent to and west of Zipcode 35135?,yes,yes
Is Lafourche Parish Louisiana adjacent to and southeast of Saint James Parish Louisiana?,yes,no
The State of Arkansas contains Zipcode 72137 correct?,yes,yes
Is Zipcode 50458 adjacent to and southeast of Zipcode 50467?,yes,no
Is Allegany County New York adjacent to and south of Zipcode 16748?,no,no
Is Stanly County North Carolina southwest of Zipcode 28104?,no,yes
Is Zipcode 16314 adjacent to and west of Zipcode 16316?,no,no
Is Zipcode 59078 adjacent to and west of Zipcode 59036?,no,no
Is Zipcode 76104 southwest of Zipcode 76109?,no,no
Is Zipcode 10154 northeast of Zipcode 10169?,yes,yes
The State of Illinois is inside of Zipcode 60922 correct?,no,no
The State of Delaware is inside of Zipcode 19960 correct?,no,no
Is Wood County Ohio adjacent to and south of Zipcode 43614?,yes,yes
Is Zipcode 12203 east of Zipcode 12204?,no,no
Is Montgomery County Texas southeast of Zipcode 77044?,no,no
Is Zipcode 07843 west of Zipcode 07885?,yes,no
Is Terrell County Georgia east of Zipcode 39836?,yes,no
Is Zipcode 20612 adjacent to and east of Zipcode 20637?,yes,no
Is Lawrence County Ohio northeast of Zipcode 41121?,yes,no
The State of California is inside of Zipcode 93432 correct?,no,no
Is Zipcode 53210 adjacent to and west of Zipcode 53222?,no,no
Is Zipcode 56303 adjacent to and south of Zipcode 56301?,no,no
Is Zipcode 57648 adjacent to and southwest of Zipcode 58573?,yes,yes
Is Zipcode 00959 adjacent to and south of Zipcode 00956?,no,no
Is Zipcode 58056 adjacent to and southeast of Zipcode 58063?,no,no
Is Zipcode 43008 adjacent to and northwest of Zipcode 43025?,no,no
Is Hudson County New Jersey adjacent to and northeast of Zipcode 07201?,yes,yes
Is Zipcode 21562 southeast of Zipcode 26710?,no,no
Is Zipcode 61027 northeast of Zipcode 61062?,yes,yes
Macoupin County Illinois contains Zipcode 62674 correct?,yes,no
Is Zipcode 62959 southwest of Zipcode 62958?,no,no
Is Zipcode 99130 adjacent to and northwest of Zipcode 99158?,no,yes
Is The State of Alabama northwest of Zipcode 32431?,yes,no
Is Zipcode 25427 adjacent to and east of Zipcode 25419?,no,yes
Is Breckinridge County Kentucky west of Zipcode 42351?,no,no
Is Gentry County Missouri adjacent to and north of DeKalb County Missouri?,yes,no
Is Macon County Missouri west of Zipcode 63468?,yes,yes
The State of California contains Zipcode 95321 correct?,yes,yes
Is Zipcode 38255 adjacent to and east of Zipcode 38233?,yes,no
Is Brunswick County North Carolina northwest of Zipcode 28450?,no,no
Huntingdon County Pennsylvania intersects with Zipcode 16657 correct?,yes,yes
Is Zipcode 20147 adjacent to and west of Zipcode 20165?,yes,no
Conway County Arkansas has no common ground with Zipcode 72013 correct?,no,yes
Is Zipcode 13827 east of Zipcode 14892?,yes,no
Is Zipcode 21561 southwest of Zipcode 21532?,yes,no
Is Zipcode 68733 southeast of Zipcode 68067?,no,no
Is Zipcode 33919 northwest of Zipcode 33993?,no,yes
Is Zipcode 05674 southeast of Zipcode 05487?,yes,yes
Is Oconee County Georgia east of Zipcode 30620?,yes,yes
Is The State of Missouri adjacent to and southeast of Zipcode 68414?,yes,no
Is Zipcode 28337 adjacent to and west of Zipcode 28392?,no,no
Is Zipcode 20175 southwest of Zipcode 20118?,no,no
Is Johnson County Illinois adjacent to and southwest of Pulaski County Illinois?,no,no
Is Breathitt County Kentucky east of Zipcode 41265?,no,no
Is Johnston County North Carolina east of Zipcode 27893?,no,yes
Is Zipcode 88349 west of Zipcode 88310?,no,no
Is Manassas Park city Virginia east of Zipcode 22152?,no,no
Is Zipcode 63044 adjacent to and west of Zipcode 63134?,yes,no
Is Zipcode 67554 adjacent to and southwest of Zipcode 67512?,no,no
Is Zipcode 86337 adjacent to and east of Zipcode 86411?,yes,no
Is Zipcode 28712 north of Zipcode 28716?,no,no
Is Zipcode 58081 northeast of Zipcode 58013?,yes,no
Is Zipcode 59631 adjacent to and north of Zipcode 59701?,yes,no
The State of Oklahoma is inside of Zipcode 74553 correct?,no,no
Is Zipcode 44511 adjacent to and north of Zipcode 44509?,no,no
Is Zipcode 28405 adjacent to and southwest of Zipcode 28411?,yes,no
Is Okeechobee County Florida east of Zipcode 33825?,yes,no
Is Roosevelt County Montana adjacent to and east of Valley County Montana?,yes,no
Is Zipcode 74042 adjacent to and northwest of Zipcode 74301?,yes,no
Is Zipcode 37340 northwest of Zipcode 30757?,yes,no
The State of Louisiana contains Zipcode 70774 correct?,yes,yes
Is Zipcode 30820 southeast of Zipcode 30434?,no,no
Is Zipcode 45350 adjacent to and east of Zipcode 45348?,yes,yes
Is Clark County Missouri northeast of Zipcode 52627?,no,no
Is Zipcode 14476 adjacent to and north of Zipcode 14470?,yes,no
Is Newberry County South Carolina east of Zipcode 29692?,yes,no
Taylor County Texas intersects with Zipcode 79567 correct?,yes,no
Is Sandoval County New Mexico northeast of Zipcode 87566?,no,no
The State of Mississippi contains Zipcode 39117 correct?,yes,no
Is The State of West Virginia northwest of Zipcode 22949?,yes,no
Is The State of Virginia northeast of Zipcode 21037?,no,no
Is Zipcode 20882 adjacent to and north of Zipcode 21771?,no,no
Is Zipcode 23602 adjacent to and east of Zipcode 23693?,no,yes
Is Renville County Minnesota northwest of Zipcode 56054?,yes,no
The State of Illinois contains Zipcode 62940 correct?,yes,no
Is Zipcode 94901 adjacent to and north of Zipcode 94925?,yes,no
Is Hillsborough County New Hampshire east of Zipcode 03455?,yes,no
Hamilton County Ohio contains Zipcode 45240 correct?,yes,yes
Is Carson County Texas southeast of Zipcode 79078?,yes,no
Is Zipcode 63827 adjacent to and north of Zipcode 63848?,no,yes
Is Zipcode 53048 adjacent to and northwest of Zipcode 53006?,no,no
Is Zipcode 23235 adjacent to and northeast of Zipcode 23226?,no,no
Is New Madrid County Missouri adjacent to and west of Zipcode 63837?,no,no
Is Zipcode 61567 southeast of Zipcode 61543?,yes,no
Is Zipcode 64040 adjacent to and north of Zipcode 64076?,no,no
Is Zipcode 63878 southwest of Zipcode 63862?,yes,no
Is Powell County Kentucky adjacent to and southwest of Estill County Kentucky?,no,no
Shiawassee County Michigan has no common ground with Zipcode 48840 correct?,no,no
Is Zipcode 17271 adjacent to and southwest of Zipcode 17221?,no,no
Is Zipcode 53168 adjacent to and southeast of Zipcode 53105?,yes,no
Is Zipcode 20674 south of Zipcode 20692?,yes,no
Is Zipcode 75134 adjacent to and southwest of Zipcode 75241?,yes,no
Is Zipcode 48519 adjacent to and east of Zipcode 48529?,yes,no
Is Leslie County Kentucky northwest of Zipcode 41314?,no,no
Is Zipcode 71418 southwest of Zipcode 71465?,no,no
Van Zandt County Texas contains Zipcode 75754 correct?,yes,no
The State of District of Columbia is inside of Zipcode 20553 correct?,no,no
Is Lawrence County South Dakota adjacent to and west of Zipcode 82712?,no,no
Is Zipcode 29651 adjacent to and southwest of Zipcode 29650?,no,yes
Cumberland County Maine is inside of The State of Maine correct?,yes,yes
Is Zipcode 38112 west of Zipcode 38105?,no,no
Is Kenton County Kentucky adjacent to and south of Grant County Kentucky?,no,no
Is Zipcode 07834 northwest of Zipcode 07927?,yes,no
Is Newport News city Virginia northwest of Zipcode 23511?,yes,no
Is Zipcode 12401 adjacent to and southeast of Zipcode 12417?,no,no
Is Zipcode 53221 adjacent to and west of Zipcode 53220?,no,yes
Is Zipcode 35541 adjacent to and north of Zipcode 35504?,yes,yes
Is Ritchie County West Virginia northwest of Zipcode 26134?,no,yes
Benton County Arkansas is inside of Zipcode 72747 correct?,no,yes
The State of Washington contains Zipcode 98315 correct?,yes,no
Is Indiana County Pennsylvania east of Zipcode 16668?,no,no
The State of Illinois contains Zipcode 62556 correct?,yes,yes
Is Zipcode 41749 adjacent to and west of Zipcode 41776?,yes,no
Is Zipcode 30553 adjacent to and northwest of Zipcode 30516?,yes,no
Is Zipcode 81654 adjacent to and east of Zipcode 81611?,no,no
The State of Pennsylvania contains Zipcode 18325 correct?,yes,no
Is Zipcode 10979 adjacent to and southwest of Zipcode 10925?,yes,no
Is Walton County Florida adjacent to and southwest of Zipcode 32541?,no,no
Granite County Montana has no common ground with Zipcode 59825 correct?,no,yes
Is McDowell County West Virginia west of Zipcode 24603?,no,yes
Is Zipcode 37711 northwest of Zipcode 37743?,yes,no
Johnson County Wyoming contains Zipcode 82834 correct?,yes,no
Is De Witt County Illinois west of Zipcode 61751?,no,no
Is Zipcode 61319 adjacent to and west of Zipcode 60460?,yes,no
Is Zipcode 28304 adjacent to and northeast of Zipcode 28303?,no,yes
Is Zipcode 24343 adjacent to and east of Zipcode 24352?,no,no
Is Zipcode 50320 adjacent to and north of Zipcode 50317?,no,no
Is Zipcode 01810 adjacent to and south of Zipcode 01843?,yes,no
Is Zipcode 35151 adjacent to and south of Zipcode 35136?,no,no
Is Zipcode 95684 west of Zipcode 95223?,yes,yes
Is Zipcode 32503 southwest of Zipcode 32507?,no,no
Is Zipcode 80426 east of Zipcode 81641?,yes,no
Tulsa County Oklahoma is inside of Zipcode 74134 correct?,no,yes
Is Zipcode 04096 southeast of Zipcode 04039?,yes,no
Is Zipcode 24472 west of Zipcode 24439?,no,no
The State of Kansas contains Zipcode 67106 correct?,yes,yes
Is Miami County Ohio southeast of Zipcode 45319?,no,no
Is Monongalia County West Virginia adjacent to and south of Taylor County West Virginia?,no,no
Is Zipcode 61483 adjacent to and northeast of Zipcode 61451?,yes,no
Is Ulster County New York adjacent to and west of Sullivan County New York?,no,no
Is Zipcode 99613 adjacent to and west of Zipcode 99670?,no,no
Is Queens County New York west of Zipcode 08863?,no,no
Is Zipcode 60102 adjacent to and east of Zipcode 60010?,no,no
Is Kenosha County Wisconsin adjacent to and east of McHenry County Illinois?,yes,no
Is Saint Francois County Missouri adjacent to and north of Zipcode 63020?,no,no
Is Marshall County Oklahoma adjacent to and south of Zipcode 75076?,no,no
Is Zipcode 31503 adjacent to and east of Zipcode 31542?,no,no
Is Zipcode 88426 northwest of Zipcode 88411?,yes,no
Is Zipcode 59214 adjacent to and southwest of Zipcode 59322?,no,no
Is Zipcode 76832 adjacent to and west of Zipcode 76869?,no,no
Hopkins County Texas has no common ground with Zipcode 75494 correct?,no,yes
Is Zipcode 02840 northwest of Zipcode 02835?,no,no
Is Zipcode 95683 adjacent to and southwest of Zipcode 95682?,yes,no
Sullivan County New York is inside of Zipcode 12784 correct?,no,yes
Is Los Angeles County California southwest of Zipcode 92342?,yes,yes
Los Angeles County California contains Zipcode 90602 correct?,yes,yes
