query,truth,response
Query: Select all options that intersect with Albemarle County Virginia? You may choose one or more options. Options: a. Zipcode 22902 b. Zipcode 24590 c. Zipcode 22920 d. Zipcode 22968 e. None of the above,"a,b,c,d","a,b,c,d"
Query: Select all options that are adjacent to and southeast of McCulloch County Texas? You may choose one or more options. Options: a. Concho County Texas b. Zipcode 76862 c. Zipcode 76875 d. Zipcode 76873 e. None of the above,b,"a,e"
Query: Select all options that are adjacent to and north of Union County North Carolina? You may choose one or more options. Options: a. The State of South Carolina b. Zipcode 28174 c. Zipcode 29715 d. Zipcode 29741 e. None of the above,a,"a,b,c,d"
Query: Select all options that are south of Bedford County Pennsylvania? You may choose one or more options. Options: a. Zipcode 16682 b. Zipcode 21750 c. Zipcode 15909 d. Zipcode 15955 e. None of the above,a,e
Query: Select all options that are adjacent to and south of Zipcode 72063? You may choose one or more options. Options: a. Zipcode 72156 b. Zipcode 72027 c. Zipcode 72843 d. Zipcode 72080 e. None of the above,d,e
Query: Select all options that are southeast of Zipcode 97317? You may choose one or more options. Options: a. Zipcode 97392 b. Zipcode 97305 c. Zipcode 97302 d. Zipcode 97383 e. None of the above,e,e
Query: Select all options that are east of Zipcode 94708? You may choose one or more options. Options: a. Zipcode 94553 b. Zipcode 94709 c. Zipcode 94803 d. Zipcode 94530 e. None of the above,e,"b,e"
Query: Select all options that are adjacent to and northwest of Pope County Arkansas? You may choose one or more options. Options: a. Zipcode 72847 b. Zipcode 72834 c. Newton County Arkansas d. Zipcode 72156 e. None of the above,e,"c,e"
Query: Select all options that are adjacent to and north of Sanders County Montana? You may choose one or more options. Options: a. Zipcode 83866 b. Zipcode 83868 c. Latah County Idaho d. Zipcode 59872 e. None of the above,e,e
Query: Select all options that are northwest of Zipcode 16222? You may choose one or more options. Options: a. Zipcode 16246 b. Zipcode 16211 c. Zipcode 16263 d. Zipcode 15732 e. None of the above,a,e
Query: Select all options that are adjacent to and west of The State of Texas? You may choose one or more options. Options: a. Zipcode 74850 b. Zipcode 78414 c. Zipcode 78072 d. Zipcode 87001 e. None of the above,e,e
Query: Select all options that are inside of Mason County West Virginia? You may choose one or more options. Options: a. Zipcode 25248 b. Zipcode 25247 c. Zipcode 25502 d. Zipcode 25260 e. None of the above,"b,c,d",e
Query: Select all options that are southeast of Craven County North Carolina? You may choose one or more options. Options: a. Zipcode 28538 b. Greene County North Carolina c. Zipcode 27858 d. Pitt County North Carolina e. None of the above,"a,b,c","a,b,e"
Query: Select all options that are adjacent to and west of Zipcode 45118? You may choose one or more options. Options: a. Zipcode 45162 b. Zipcode 45176 c. Zipcode 45142 d. Zipcode 45171 e. None of the above,c,e
Query: Select all options that are adjacent to and northwest of Zipcode 94559? You may choose one or more options. Options: a. Zipcode 94503 b. Zipcode 94510 c. Zipcode 94954 d. Zipcode 94591 e. None of the above,a,e
Query: Select all options that are adjacent to and south of San Bernardino County California? You may choose one or more options. Options: a. Zipcode 86444 b. The State of Nevada c. Zipcode 86403 d. Zipcode 93523 e. None of the above,b,e
Query: Select all options that are adjacent to and west of Zipcode 75103? You may choose one or more options. Options: a. Zipcode 75147 b. Zipcode 75169 c. Zipcode 75117 d. Zipcode 75161 e. None of the above,e,e
Query: Select all options that are adjacent to and south of Zipcode 28037? You may choose one or more options. Options: a. Zipcode 28006 b. Zipcode 28650 c. Zipcode 28078 d. Zipcode 28031 e. None of the above,e,e
Query: Select all options that are inside of Guayanilla Municipio Puerto Rico? You may choose one or more options. Options: a. Zipcode 00631 b. Zipcode 00664 c. Zipcode 00638 d. Zipcode 00680 e. None of the above,e,"a,c,e"
Query: Select all options that are southeast of Zipcode 37777? You may choose one or more options. Options: a. Zipcode 37934 b. Zipcode 37932 c. Zipcode 37701 d. Zipcode 37853 e. None of the above,b,e
Query: Select all options that are southwest of Zipcode 26845? You may choose one or more options. Options: a. Zipcode 26757 b. Zipcode 26743 c. Zipcode 26818 d. Zipcode 26847 e. None of the above,a,e
Query: Select all options that are adjacent to and west of Zipcode 45247? You may choose one or more options. Options: a. Zipcode 45052 b. Zipcode 45041 c. Zipcode 45002 d. Zipcode 45030 e. None of the above,e,e
Query: Select all options that are southwest of The State of West Virginia? You may choose one or more options. Options: a. Zipcode 15928 b. Zipcode 26547 c. Zipcode 16637 d. Zipcode 16601 e. None of the above,"a,c,d",e
Query: Select all options that are inside of Hamilton County Illinois? You may choose one or more options. Options: a. Saline County Illinois b. Zipcode 62851 c. Zipcode 62810 d. Zipcode 62844 e. None of the above,e,e
Query: Select all options that are adjacent to and southeast of Zipcode 77990? You may choose one or more options. Options: a. Zipcode 78377 b. Zipcode 77973 c. Zipcode 77983 d. Zipcode 77950 e. None of the above,b,e
Query: Select all options that are adjacent to and southwest of Zipcode 12725? You may choose one or more options. Options: a. Zipcode 12410 b. Zipcode 12765 c. Zipcode 12464 d. Zipcode 12446 e. None of the above,a,e
Query: Select all options that are adjacent to and northwest of The State of Indiana? You may choose one or more options. Options: a. Zipcode 45052 b. Zipcode 46989 c. Zipcode 46074 d. Zipcode 46235 e. None of the above,a,e
Query: Select all options that are inside of Fremont County Wyoming? You may choose one or more options. Options: a. The State of Wyoming b. Zipcode 82443 c. Zipcode 82648 d. Zipcode 82604 e. None of the above,a,"a,b,c,d"
Query: Select all options that are adjacent to and east of LaPorte County Indiana? You may choose one or more options. Options: a. Zipcode 46614 b. Zipcode 46501 c. Zipcode 46511 d. Zipcode 46556 e. None of the above,e,e
Query: Select all options that are adjacent to and northwest of Lyon County Nevada? You may choose one or more options. Options: a. Zipcode 89521 b. Zipcode 89441 c. Zipcode 96107 d. Zipcode 89424 e. None of the above,e,e
Query: Select all options that are adjacent to and southeast of Zipcode 85743? You may choose one or more options. Options: a. Zipcode 85713 b. Zipcode 85735 c. Zipcode 85634 d. Zipcode 85741 e. None of the above,e,e
Query: Select all options that are northwest of Zipcode 98538? You may choose one or more options. Options: a. Zipcode 98596 b. Zipcode 98593 c. Zipcode 98532 d. Zipcode 98581 e. None of the above,e,"c,e"
Query: Select all options that are inside of The State of Pennsylvania? You may choose one or more options. Options: a. Zipcode 18453 b. Zipcode 18347 c. Zipcode 16657 d. Zipcode 14478 e. None of the above,"a,b,c",e
Query: Select all options that are adjacent to and northeast of Zipcode 12543? You may choose one or more options. Options: a. Zipcode 12553 b. Zipcode 12550 c. Zipcode 10916 d. Zipcode 10992 e. None of the above,c,"a,e"
Query: Select all options that are adjacent to and southwest of Zipcode 15442? You may choose one or more options. Options: a. Zipcode 15438 b. Zipcode 15422 c. Zipcode 15449 d. Zipcode 15401 e. None of the above,e,"a,c,e"
Query: Select all options that are northwest of Lincoln County New Mexico? You may choose one or more options. Options: a. Zipcode 88232 b. Zipcode 87011 c. Zipcode 88301 d. Zipcode 88230 e. None of the above,"a,d",e
Query: Select all options that are south of Zipcode 78380? You may choose one or more options. Options: a. Zipcode 78409 b. Zipcode 78406 c. Zipcode 78339 d. Zipcode 78383 e. None of the above,e,e
Query: Select all options that are adjacent to and south of Zipcode 84713? You may choose one or more options. Options: a. Zipcode 84759 b. Zipcode 84740 c. Zipcode 84766 d. Zipcode 84731 e. None of the above,e,e
Query: Select all options that intersect with The State of Arkansas? You may choose one or more options. Options: a. Zipcode 72051 b. Zipcode 74946 c. Zipcode 75503 d. Zipcode 75573 e. None of the above,b,e
Query: Select all options that are adjacent to and south of Zipcode 47562? You may choose one or more options. Options: a. Zipcode 47501 b. Zipcode 47568 c. Zipcode 47449 d. Zipcode 47443 e. None of the above,c,"b,e"
Query: Select all options that are adjacent to and northwest of Zipcode 63377? You may choose one or more options. Options: a. Zipcode 63379 b. Zipcode 63381 c. Zipcode 63347 d. Zipcode 63349 e. None of the above,a,e
Query: Select all options that are adjacent to and north of Zipcode 28103? You may choose one or more options. Options: a. Zipcode 28110 b. Zipcode 28128 c. Zipcode 28133 d. Zipcode 29728 e. None of the above,d,e
Query: Select all options that are adjacent to and northeast of Zipcode 54768? You may choose one or more options. Options: a. Zipcode 54433 b. Zipcode 54771 c. Zipcode 54726 d. Zipcode 54732 e. None of the above,e,"b,e"
Query: Select all options that are adjacent to and west of Zipcode 29384? You may choose one or more options. Options: a. Zipcode 29360 b. Zipcode 29370 c. Zipcode 29653 d. Zipcode 29332 e. None of the above,b,e
Query: Select all options that are inside of Warren County New York? You may choose one or more options. Options: a. Zipcode 12835 b. Zipcode 12828 c. Zipcode 12810 d. Zipcode 12811 e. None of the above,"c,d",e
Query: Select all options that are adjacent to and northeast of Zipcode 33898? You may choose one or more options. Options: a. Zipcode 33844 b. Zipcode 34759 c. Zipcode 33825 d. Zipcode 33843 e. None of the above,"c,d",e
Query: Select all options that are west of Zipcode 77455? You may choose one or more options. Options: a. Zipcode 77442 b. Zipcode 77419 c. Zipcode 77432 d. Zipcode 77964 e. None of the above,c,e
Query: Select all options that are adjacent to and southeast of The State of Colorado? You may choose one or more options. Options: a. Zipcode 81220 b. Zipcode 81505 c. Zipcode 73947 d. Zipcode 81132 e. None of the above,e,e
Query: Select all options that are adjacent to and south of Nye County Nevada? You may choose one or more options. Options: a. Eureka County Nevada b. The State of California c. Zipcode 89049 d. Zipcode 89310 e. None of the above,a,"a,e"
Query: Select all options that are adjacent to and north of Jefferson County Iowa? You may choose one or more options. Options: a. Van Buren County Iowa b. Zipcode 52248 c. Zipcode 52537 d. Zipcode 52563 e. None of the above,a,"a,e"
Query: Select all options that are west of Zipcode 46984? You may choose one or more options. Options: a. Zipcode 46992 b. Zipcode 46911 c. Zipcode 46919 d. Zipcode 46940 e. None of the above,e,e
Query: Select all options that are adjacent to and northeast of Zipcode 64068? You may choose one or more options. Options: a. Zipcode 64158 b. Zipcode 64050 c. Zipcode 64157 d. Zipcode 64016 e. None of the above,e,"a,c"
Query: Select all options that are adjacent to and east of Zipcode 24210? You may choose one or more options. Options: a. Zipcode 24224 b. Zipcode 24266 c. Zipcode 24270 d. Zipcode 24370 e. None of the above,c,e
Query: Select all options that are east of Saint John the Baptist Parish Louisiana? You may choose one or more options. Options: a. Zipcode 70763 b. Zipcode 70743 c. Zipcode 70778 d. Zipcode 70769 e. None of the above,"a,b,c,d",e
Query: Select all options that are southwest of Zipcode 63109? You may choose one or more options. Options: a. Zipcode 63111 b. Zipcode 63116 c. Zipcode 63143 d. Zipcode 62240 e. None of the above,e,e
Query: Select all options that are adjacent to and west of Uvalde County Texas? You may choose one or more options. Options: a. Maverick County Texas b. Zipcode 78850 c. Medina County Texas d. Zipcode 78884 e. None of the above,"b,c","a,e"
Query: Select all options that intersect with The State of Indiana? You may choose one or more options. Options: a. Zipcode 47561 b. Zipcode 40020 c. Zipcode 46268 d. Zipcode 47951 e. None of the above,e,"c,d"
Query: Select all options that are inside of Oconee County South Carolina? You may choose one or more options. Options: a. Zipcode 30557 b. Zipcode 30577 c. Zipcode 29658 d. Zipcode 29664 e. None of the above,"c,d","c,d"
Query: Select all options that are adjacent to and south of Zipcode 08867? You may choose one or more options. Options: a. Zipcode 08822 b. Zipcode 08809 c. Zipcode 08802 d. Zipcode 08827 e. None of the above,d,e
Query: Select all options that are northwest of Polk County Georgia? You may choose one or more options. Options: a. Zipcode 30184 b. Zipcode 35960 c. Zipcode 30179 d. Zipcode 36262 e. None of the above,c,e
Query: Select all options that are adjacent to and west of Zipcode 07746? You may choose one or more options. Options: a. Zipcode 07722 b. Zipcode 07728 c. Zipcode 07751 d. Zipcode 08857 e. None of the above,a,e
Query: Select all options that are west of Las Animas County Colorado? You may choose one or more options. Options: a. Zipcode 73946 b. Zipcode 81029 c. Zipcode 73933 d. Prowers County Colorado e. None of the above,"a,b,c,d","d,e"
Query: Select all options that are adjacent to and east of Zipcode 66085? You may choose one or more options. Options: a. Zipcode 66223 b. Zipcode 66013 c. Zipcode 66083 d. Zipcode 66062 e. None of the above,"c,d","c,e"
Query: Select all options that are adjacent to and northwest of Zipcode 64850? You may choose one or more options. Options: a. Zipcode 64861 b. Zipcode 64844 c. Zipcode 64865 d. Zipcode 64804 e. None of the above,e,e
Query: Select all options that are northeast of Inyo County California? You may choose one or more options. Options: a. Zipcode 93285 b. Zipcode 93260 c. Zipcode 93226 d. Zipcode 89134 e. None of the above,"a,b,c",e
Query: Select all options that intersect with Howard County Missouri? You may choose one or more options. Options: a. Zipcode 65274 b. Zipcode 65257 c. Zipcode 65256 d. Zipcode 65230 e. None of the above,"a,b,c,d",e
Query: Select all options that are inside of Yolo County California? You may choose one or more options. Options: a. Zipcode 95653 b. Placer County California c. Zipcode 95695 d. Zipcode 95607 e. None of the above,"a,c,d","a,c,d"
Query: Select all options that are adjacent to and southwest of Zipcode 51560? You may choose one or more options. Options: a. Zipcode 51577 b. Zipcode 51521 c. Zipcode 51525 d. Zipcode 51536 e. None of the above,"a,d",e
Query: Select all options that are adjacent to and southwest of Zipcode 25526? You may choose one or more options. Options: a. Zipcode 25521 b. Zipcode 25523 c. Zipcode 25571 d. Zipcode 25213 e. None of the above,d,e
Query: Select all options that are adjacent to and northeast of Zipcode 24603? You may choose one or more options. Options: a. Zipcode 24614 b. Zipcode 41522 c. Zipcode 41554 d. Zipcode 24628 e. None of the above,e,"a,e"
Query: Select all options that are adjacent to and southwest of Zipcode 68935? You may choose one or more options. Options: a. Zipcode 68934 b. Zipcode 68452 c. Zipcode 68979 d. Zipcode 68335 e. None of the above,c,"a,e"
Query: Select all options that are adjacent to and northwest of Zipcode 10172? You may choose one or more options. Options: a. Zipcode 10169 b. Zipcode 10016 c. Zipcode 10154 d. Zipcode 10170 e. None of the above,e,"a,e"
Query: Select all options that are adjacent to and southwest of Zipcode 39189? You may choose one or more options. Options: a. Zipcode 39094 b. Zipcode 39117 c. Zipcode 39074 d. Zipcode 39057 e. None of the above,e,e
Query: Select all options that are northeast of Zipcode 70526? You may choose one or more options. Options: a. Zipcode 70534 b. Zipcode 70548 c. Zipcode 70515 d. Zipcode 70578 e. None of the above,e,"a,b,e"
Query: Select all options that are adjacent to and northeast of Zipcode 61262? You may choose one or more options. Options: a. Zipcode 61468 b. Zipcode 61274 c. Zipcode 61490 d. Zipcode 61281 e. None of the above,a,"b,d,e"
Query: Select all options that are southwest of Charlton County Georgia? You may choose one or more options. Options: a. Zipcode 31542 b. Zipcode 32097 c. Glynn County Georgia d. Zipcode 31565 e. None of the above,"c,d",e
Query: Select all options that are adjacent to and southwest of Ralls County Missouri? You may choose one or more options. Options: a. Zipcode 65280 b. Zipcode 63353 c. Marion County Missouri d. Zipcode 63459 e. None of the above,e,e
Query: Select all options that are southeast of Zipcode 56557? You may choose one or more options. Options: a. Zipcode 56621 b. Zipcode 56516 c. Zipcode 56540 d. Zipcode 56545 e. None of the above,c,e
Query: Select all options that are adjacent to and southwest of Zipcode 30511? You may choose one or more options. Options: a. Zipcode 30510 b. Zipcode 30577 c. Zipcode 30531 d. Zipcode 30554 e. None of the above,b,"a,e"
Query: Select all options that are north of The State of Michigan? You may choose one or more options. Options: a. Zipcode 48027 b. Zipcode 54446 c. Zipcode 48312 d. Zipcode 53586 e. None of the above,e,e
Query: Select all options that are adjacent to and west of Zipcode 14605? You may choose one or more options. Options: a. Zipcode 14604 b. Zipcode 14620 c. Zipcode 14607 d. Zipcode 14621 e. None of the above,e,a
Query: Select all options that are adjacent to and southeast of Zipcode 05753? You may choose one or more options. Options: a. Zipcode 05491 b. Zipcode 05733 c. Zipcode 05443 d. Zipcode 05740 e. None of the above,a,e
Query: Select all options that are adjacent to and northwest of LaPorte County Indiana? You may choose one or more options. Options: a. Zipcode 46365 b. Zipcode 49117 c. Zipcode 46383 d. Marshall County Indiana e. None of the above,e,"c,d,e"
Query: Select all options that are north of The State of Maryland? You may choose one or more options. Options: a. Zipcode 21734 b. Zipcode 22201 c. Zipcode 21531 d. Zipcode 22193 e. None of the above,e,e
Query: Select all options that are adjacent to and west of Zipcode 14512? You may choose one or more options. Options: a. Zipcode 14808 b. Zipcode 14471 c. Zipcode 14560 d. Zipcode 14826 e. None of the above,e,e
Query: Select all options that are adjacent to and south of Zipcode 48754? You may choose one or more options. Options: a. Zipcode 48720 b. Zipcode 48726 c. Zipcode 48767 d. Zipcode 48755 e. None of the above,d,e
Query: Select all options that are adjacent to and southwest of Otsego County Michigan? You may choose one or more options. Options: a. Kalkaska County Michigan b. Zipcode 49799 c. Zipcode 48619 d. Zipcode 49751 e. None of the above,e,"a,e"
Query: Select all options that are adjacent to and west of Morgan County Illinois? You may choose one or more options. Options: a. Zipcode 62650 b. Sangamon County Illinois c. Pike County Illinois d. Zipcode 62618 e. None of the above,b,e
Query: Select all options that are inside of Walker County Alabama? You may choose one or more options. Options: a. Zipcode 35118 b. Zipcode 35130 c. Zipcode 35504 d. Zipcode 35180 e. None of the above,e,"a,b,c,d"
Query: Select all options that are adjacent to and west of Zipcode 15824? You may choose one or more options. Options: a. Zipcode 16239 b. Zipcode 15851 c. Zipcode 15840 d. Zipcode 15801 e. None of the above,e,"c,e"
Query: Select all options that are west of Zipcode 12155? You may choose one or more options. Options: a. Zipcode 13488 b. Zipcode 13320 c. Zipcode 13326 d. Zipcode 12197 e. None of the above,e,e
Query: Select all options that are adjacent to and northwest of Faribault County Minnesota? You may choose one or more options. Options: a. Worth County Iowa b. Winnebago County Iowa c. Zipcode 50473 d. Zipcode 56068 e. None of the above,"b,c",e
Query: Select all options that are adjacent to and east of Zipcode 29069? You may choose one or more options. Options: a. Zipcode 29080 b. Zipcode 29532 c. Zipcode 29010 d. Zipcode 29153 e. None of the above,c,"a,e"
Query: Select all options that are southeast of Zipcode 85139? You may choose one or more options. Options: a. Zipcode 85138 b. Zipcode 85337 c. Zipcode 85326 d. Zipcode 85121 e. None of the above,c,e
Query: Select all options that are adjacent to and east of Pierce County Washington? You may choose one or more options. Options: a. Zipcode 98421 b. Zipcode 98925 c. Zipcode 98374 d. Thurston County Washington e. None of the above,d,e
Query: Select all options that are adjacent to and northeast of Zipcode 52641? You may choose one or more options. Options: a. Zipcode 52651 b. Zipcode 52644 c. Zipcode 52659 d. Zipcode 52635 e. None of the above,a,"a,b"
Query: Select all options that are northeast of The State of Michigan? You may choose one or more options. Options: a. Zipcode 53228 b. Zipcode 60152 c. Zipcode 53511 d. Zipcode 60106 e. None of the above,"a,b,c,d",e
Query: Select all options that are adjacent to and north of Johnson County Arkansas? You may choose one or more options. Options: a. The State of Texas b. Zipcode 72863 c. Zipcode 72835 d. Franklin County Arkansas e. None of the above,"b,c","d,e"
Query: Select all options that are inside of Perry County Indiana? You may choose one or more options. Options: a. Zipcode 40104 b. Zipcode 47615 c. Zipcode 47551 d. Zipcode 47577 e. None of the above,e,"c,d"
Query: Select all options that are adjacent to and northwest of Zipcode 08234? You may choose one or more options. Options: a. Zipcode 08205 b. Zipcode 08232 c. Zipcode 08215 d. Zipcode 08221 e. None of the above,d,e
Query: Select all options that are adjacent to and northwest of DeKalb County Illinois? You may choose one or more options. Options: a. Zipcode 60146 b. Zipcode 60518 c. Zipcode 60113 d. Zipcode 60560 e. None of the above,e,e
Query: Select all options that are inside of Belmont County Ohio? You may choose one or more options. Options: a. Zipcode 26031 b. Zipcode 43951 c. Zipcode 43768 d. Zipcode 43905 e. None of the above,e,"c,d"
Query: Select all options that are adjacent to and southwest of Zipcode 59258? You may choose one or more options. Options: a. Zipcode 59254 b. Zipcode 59213 c. Zipcode 59257 d. Zipcode 59255 e. None of the above,a,"c,e"
Query: Select all options that are southeast of Delaware County Pennsylvania? You may choose one or more options. Options: a. Zipcode 19460 b. Zipcode 19341 c. Zipcode 19520 d. Zipcode 19425 e. None of the above,"a,b,c,d",e
Query: Select all options that are adjacent to and southeast of Zipcode 01420? You may choose one or more options. Options: a. Zipcode 01469 b. Zipcode 01474 c. Zipcode 01453 d. Zipcode 01431 e. None of the above,e,e
Query: Select all options that are southwest of The State of Wisconsin? You may choose one or more options. Options: a. Zipcode 52169 b. Zipcode 54001 c. Zipcode 50674 d. Zipcode 53523 e. None of the above,e,e
Query: Select all options that are adjacent to and southeast of Brazoria County Texas? You may choose one or more options. Options: a. Zipcode 77469 b. Zipcode 77481 c. Fort Bend County Texas d. Zipcode 77539 e. None of the above,"a,b,c","c,e"
Query: Select all options that intersect with Kossuth County Iowa? You may choose one or more options. Options: a. Zipcode 50581 b. Zipcode 50517 c. Zipcode 50545 d. Zipcode 56033 e. None of the above,e,"a,b,c"
Query: Select all options that are adjacent to and north of Zipcode 55333? You may choose one or more options. Options: a. Zipcode 55310 b. Zipcode 56270 c. Zipcode 55332 d. Zipcode 55342 e. None of the above,e,"c,e"
Query: Select all options that are adjacent to and east of Zipcode 22936? You may choose one or more options. Options: a. Zipcode 22901 b. Zipcode 22940 c. Zipcode 22973 d. Zipcode 22932 e. None of the above,b,"d,e"
Query: Select all options that are adjacent to and north of Zipcode 64756? You may choose one or more options. Options: a. Zipcode 65682 b. Zipcode 64784 c. Zipcode 65603 d. Zipcode 64744 e. None of the above,a,e
Query: Select all options that are northwest of Zipcode 18817? You may choose one or more options. Options: a. Zipcode 18831 b. Zipcode 18810 c. Zipcode 16947 d. Zipcode 18850 e. None of the above,e,"a,e"
Query: Select all options that are adjacent to and east of Valencia County New Mexico? You may choose one or more options. Options: a. Zipcode 87006 b. Cibola County New Mexico c. Zipcode 87036 d. Zipcode 87062 e. None of the above,b,e
Query: Select all options that are southeast of Ozark County Missouri? You may choose one or more options. Options: a. Zipcode 65609 b. Zipcode 65653 c. Howell County Missouri d. Zipcode 72687 e. None of the above,e,e
Query: Select all options that are adjacent to and east of Marion County Tennessee? You may choose one or more options. Options: a. Zipcode 37350 b. Franklin County Tennessee c. Zipcode 37388 d. The State of Georgia e. None of the above,b,e
Query: Select all options that are inside of Cabarrus County North Carolina? You may choose one or more options. Options: a. Zipcode 28025 b. Zipcode 28075 c. Zipcode 28103 d. Zipcode 28027 e. None of the above,"a,b,d","a,b,c,d"
Query: Select all options that are adjacent to and northwest of Zipcode 80127? You may choose one or more options. Options: a. Zipcode 80135 b. Zipcode 80128 c. Zipcode 80235 d. Zipcode 80465 e. None of the above,e,"b,e"
Query: Select all options that are adjacent to and south of Zipcode 84088? You may choose one or more options. Options: a. Zipcode 84084 b. Zipcode 84095 c. Zipcode 84081 d. Zipcode 84070 e. None of the above,a,e
Query: Select all options that are northeast of Douglas County Georgia? You may choose one or more options. Options: a. Zipcode 30310 b. Zipcode 30180 c. Zipcode 30185 d. Zipcode 30118 e. None of the above,e,e
Query: Select all options that are adjacent to and north of Litchfield County Connecticut? You may choose one or more options. Options: a. Zipcode 12501 b. Zipcode 06031 c. Zipcode 06018 d. Zipcode 06067 e. None of the above,e,e
Query: Select all options that are adjacent to and north of Zipcode 35060? You may choose one or more options. Options: a. Zipcode 35023 b. Zipcode 35118 c. Zipcode 35005 d. Zipcode 35214 e. None of the above,e,e
Query: Select all options that are adjacent to and west of Zipcode 51357? You may choose one or more options. Options: a. Zipcode 51346 b. Zipcode 51301 c. Zipcode 51033 d. Zipcode 51058 e. None of the above,e,"a,e"
Query: Select all options that are adjacent to and southeast of Zipcode 49920? You may choose one or more options. Options: a. Zipcode 49879 b. Zipcode 49927 c. Zipcode 49815 d. Zipcode 49903 e. None of the above,d,"b,e"
Query: Select all options that are west of Rockingham County New Hampshire? You may choose one or more options. Options: a. Zipcode 03910 b. Zipcode 03835 c. Zipcode 03258 d. York County Maine e. None of the above,a,e
Query: Select all options that are adjacent to and north of Zipcode 04607? You may choose one or more options. Options: a. Zipcode 04664 b. Zipcode 04640 c. Zipcode 04624 d. Zipcode 04680 e. None of the above,e,e
Query: Select all options that are adjacent to and east of Carroll County Iowa? You may choose one or more options. Options: a. Zipcode 51454 b. Zipcode 50058 c. Zipcode 51443 d. Zipcode 50050 e. None of the above,e,e
Query: Select all options that are adjacent to and northwest of Pointe Coupee Parish Louisiana? You may choose one or more options. Options: a. Zipcode 70756 b. Zipcode 70719 c. Zipcode 70767 d. West Baton Rouge Parish Louisiana e. None of the above,"c,d",e
Query: Select all options that are adjacent to and west of Zipcode 32409? You may choose one or more options. Options: a. Zipcode 32404 b. Zipcode 32413 c. Zipcode 32444 d. Zipcode 32428 e. None of the above,e,"a,e"
Query: Select all options that are adjacent to and southeast of Zipcode 95465? You may choose one or more options. Options: a. Zipcode 95472 b. Zipcode 95421 c. Zipcode 94922 d. Zipcode 95450 e. None of the above,"b,d","a,e"
Query: Select all options that are southwest of Zipcode 23509? You may choose one or more options. Options: a. Zipcode 23502 b. Zipcode 23513 c. Zipcode 23511 d. Zipcode 23508 e. None of the above,e,e
Query: Select all options that are adjacent to and south of Iroquois County Illinois? You may choose one or more options. Options: a. Zipcode 60974 b. Zipcode 47921 c. Zipcode 60924 d. Zipcode 47978 e. None of the above,e,e
Query: Select all options that are adjacent to and northwest of Zipcode 38804? You may choose one or more options. Options: a. Zipcode 38862 b. Zipcode 38843 c. Zipcode 38856 d. Zipcode 38828 e. None of the above,a,e
Query: Select all options that are adjacent to and northeast of Gasconade County Missouri? You may choose one or more options. Options: a. Maries County Missouri b. Zipcode 65035 c. Phelps County Missouri d. Franklin County Missouri e. None of the above,"a,c","a,c"
Query: Select all options that are adjacent to and southeast of Zipcode 61048? You may choose one or more options. Options: a. Zipcode 61085 b. Zipcode 61050 c. Zipcode 61060 d. Zipcode 61044 e. None of the above,e,e
