query,truth
Query: Select exactly one option (a-e) that best describes the relationship of The State of Illinois in relation to Zipcode 52731 in terms of geography. Options: a. adjacent to and west of b. inside of c. east of d. they intersect e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 68460 in relation to Zipcode 68401 in terms of geography. Options: a. adjacent to and west of b. adjacent to and southwest of c. adjacent to and northwest of d. adjacent to and northeast of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 22903 in relation to Zipcode 22901 in terms of geography. Options: a. southwest of b. adjacent to and southwest of c. south of d. northeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of The State of Oklahoma in relation to Zipcode 67361 in terms of geography. Options: a. southwest of b. north of c. southeast of d. east of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 22551 in relation to Zipcode 22408 in terms of geography. Options: a. adjacent to and south of b. adjacent to and west of c. inside of d. adjacent to and southeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Coffee County Georgia in relation to Atkinson County Georgia in terms of geography. Options: a. northeast of b. adjacent to and northeast of c. north of d. adjacent to and north of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 63785 in relation to Zipcode 63730 in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and southeast of c. northwest of d. north of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 01876 in relation to Zipcode 01851 in terms of geography. Options: a. they intersect b. inside of c. north of d. northwest of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Miami-Dade County Florida in relation to Zipcode 33170 in terms of geography. Options: a. north of b. south of c. they intersect d. adjacent to and west of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 20003 in relation to Zipcode 20002 in terms of geography. Options: a. adjacent to and southeast of b. adjacent to and south of c. they intersect d. adjacent to and west of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Madison County Nebraska in relation to Zipcode 68767 in terms of geography. Options: a. adjacent to and west of b. adjacent to and south of c. adjacent to and east of d. northeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 59313 in relation to Zipcode 58632 in terms of geography. Options: a. inside of b. northeast of c. adjacent to and southwest of d. northwest of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 76164 in relation to Zipcode 76111 in terms of geography. Options: a. south of b. adjacent to and east of c. adjacent to and southwest of d. north of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 35459 in relation to Zipcode 35464 in terms of geography. Options: a. adjacent to and west of b. they intersect c. adjacent to and east of d. adjacent to and northwest of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 82050 in relation to Zipcode 82081 in terms of geography. Options: a. adjacent to and northeast of b. they intersect c. southeast of d. south of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 42717 in relation to Zipcode 42167 in terms of geography. Options: a. east of b. contains c. southeast of d. adjacent to and east of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of The State of Virginia in relation to Zipcode 41397 in terms of geography. Options: a. east of b. inside of c. adjacent to and north of d. southwest of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of The State of New York in relation to Zipcode 12501 in terms of geography. Options: a. they intersect b. adjacent to and south of c. south of d. contains e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Henry County Kentucky in relation to Trimble County Kentucky in terms of geography. Options: a. adjacent to and west of b. southwest of c. adjacent to and southeast of d. northwest of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Kinney County Texas in relation to Zipcode 78877 in terms of geography. Options: a. southwest of b. adjacent to and west of c. adjacent to and north of d. adjacent to and south of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 81004 in relation to Zipcode 81023 in terms of geography. Options: a. adjacent to and north of b. adjacent to and south of c. inside of d. adjacent to and east of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 01749 in relation to Zipcode 01532 in terms of geography. Options: a. north of b. adjacent to and south of c. east of d. northeast of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 21130 in relation to Zipcode 21009 in terms of geography. Options: a. west of b. southwest of c. southeast of d. adjacent to and southwest of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 49855 in relation to Zipcode 49866 in terms of geography. Options: a. east of b. adjacent to and southwest of c. adjacent to and northeast of d. north of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 92083 in relation to Zipcode 92056 in terms of geography. Options: a. adjacent to and south of b. adjacent to and east of c. adjacent to and northeast of d. west of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 04658 in relation to Zipcode 04622 in terms of geography. Options: a. east of b. west of c. southeast of d. adjacent to and southeast of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Wayne County Tennessee in relation to Zipcode 38456 in terms of geography. Options: a. east of b. west of c. adjacent to and northwest of d. northeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Saint Clair County Alabama in relation to Zipcode 35043 in terms of geography. Options: a. they intersect b. northeast of c. southeast of d. southwest of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Waller County Texas in relation to The State of Texas in terms of geography. Options: a. inside of b. adjacent to and southwest of c. south of d. adjacent to and northwest of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Augusta County Virginia in relation to Zipcode 22952 in terms of geography. Options: a. north of b. northeast of c. adjacent to and west of d. contains e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Hamilton County New York in relation to Zipcode 12850 in terms of geography. Options: a. east of b. adjacent to and southeast of c. adjacent to and southwest of d. northwest of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Summit County Ohio in relation to Zipcode 44308 in terms of geography. Options: a. contains b. northwest of c. inside of d. southeast of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 66047 in relation to Zipcode 66046 in terms of geography. Options: a. they intersect b. northwest of c. adjacent to and north of d. adjacent to and south of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 12092 in relation to Zipcode 12035 in terms of geography. Options: a. inside of b. east of c. contains d. southwest of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Burlington County New Jersey in relation to Zipcode 19057 in terms of geography. Options: a. southwest of b. inside of c. they intersect d. south of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 77386 in relation to Zipcode 77365 in terms of geography. Options: a. adjacent to and southwest of b. contains c. west of d. adjacent to and west of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 78731 in relation to Zipcode 78750 in terms of geography. Options: a. northwest of b. southwest of c. adjacent to and southeast of d. south of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Clarke County Georgia in relation to Zipcode 30630 in terms of geography. Options: a. adjacent to and north of b. east of c. northwest of d. south of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Hudson County New Jersey in relation to Zipcode 11208 in terms of geography. Options: a. west of b. adjacent to and north of c. south of d. southwest of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Madison County Kentucky in relation to Zipcode 40385 in terms of geography. Options: a. northwest of b. south of c. east of d. adjacent to and west of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of The State of Georgia in relation to Zipcode 29712 in terms of geography. Options: a. adjacent to and northwest of b. inside of c. adjacent to and southwest of d. adjacent to and east of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Cameron County Pennsylvania in relation to Zipcode 15868 in terms of geography. Options: a. adjacent to and northeast of b. west of c. northwest of d. adjacent to and east of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 57022 in relation to Zipcode 57028 in terms of geography. Options: a. adjacent to and north of b. north of c. southwest of d. adjacent to and southwest of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 43013 in relation to Zipcode 43050 in terms of geography. Options: a. southwest of b. adjacent to and northeast of c. inside of d. adjacent to and west of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Douglas County Nevada in relation to Zipcode 89701 in terms of geography. Options: a. northwest of b. adjacent to and north of c. adjacent to and southwest of d. southeast of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 54539 in relation to Zipcode 54529 in terms of geography. Options: a. northeast of b. they intersect c. adjacent to and northeast of d. adjacent to and west of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 25702 in relation to Zipcode 25545 in terms of geography. Options: a. contains b. adjacent to and west of c. southwest of d. adjacent to and east of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Chittenden County Vermont in relation to Zipcode 05672 in terms of geography. Options: a. adjacent to and south of b. adjacent to and southwest of c. inside of d. adjacent to and west of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 29138 in relation to Zipcode 29646 in terms of geography. Options: a. west of b. east of c. they intersect d. adjacent to and southwest of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 04071 in relation to Zipcode 04260 in terms of geography. Options: a. south of b. west of c. adjacent to and west of d. adjacent to and southwest of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 62021 in relation to Zipcode 62014 in terms of geography. Options: a. adjacent to and south of b. contains c. inside of d. adjacent to and north of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 35128 in relation to Zipcode 35176 in terms of geography. Options: a. adjacent to and north of b. adjacent to and west of c. south of d. adjacent to and east of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 42376 in relation to Zipcode 42347 in terms of geography. Options: a. northwest of b. south of c. adjacent to and northwest of d. east of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of The State of Michigan in relation to Zipcode 48890 in terms of geography. Options: a. south of b. adjacent to and northwest of c. they intersect d. contains e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 92376 in relation to Zipcode 92404 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and northeast of c. northeast of d. they intersect e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Lake County Montana in relation to Zipcode 59865 in terms of geography. Options: a. west of b. contains c. adjacent to and east of d. they intersect e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Muscatine County Iowa in relation to Rock Island County Illinois in terms of geography. Options: a. north of b. adjacent to and west of c. adjacent to and northeast of d. adjacent to and northwest of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Chattooga County Georgia in relation to Walker County Georgia in terms of geography. Options: a. south of b. adjacent to and south of c. adjacent to and southwest of d. northeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 69212 in relation to Zipcode 57572 in terms of geography. Options: a. adjacent to and northwest of b. south of c. inside of d. adjacent to and southeast of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Waller County Texas in relation to Zipcode 77024 in terms of geography. Options: a. adjacent to and south of b. northeast of c. southwest of d. northwest of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Randolph County West Virginia in relation to Zipcode 26278 in terms of geography. Options: a. adjacent to and southeast of b. west of c. adjacent to and west of d. northwest of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Bennington County Vermont in relation to Zipcode 12873 in terms of geography. Options: a. northeast of b. adjacent to and east of c. adjacent to and west of d. contains e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of The State of Florida in relation to Zipcode 36441 in terms of geography. Options: a. adjacent to and southeast of b. west of c. adjacent to and east of d. northeast of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Aleutians East Borough Alaska in relation to Zipcode 99553 in terms of geography. Options: a. northwest of b. southwest of c. adjacent to and southwest of d. contains e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 57648 in relation to Zipcode 58542 in terms of geography. Options: a. adjacent to and southeast of b. northeast of c. inside of d. south of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Salem County New Jersey in relation to Zipcode 19317 in terms of geography. Options: a. adjacent to and south of b. contains c. adjacent to and northwest of d. southeast of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 79789 in relation to Zipcode 79772 in terms of geography. Options: a. northeast of b. adjacent to and southwest of c. contains d. east of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 45232 in relation to Zipcode 45237 in terms of geography. Options: a. southeast of b. northwest of c. west of d. adjacent to and southwest of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 76272 in relation to Zipcode 76249 in terms of geography. Options: a. adjacent to and northeast of b. east of c. northeast of d. southwest of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Noble County Indiana in relation to Kosciusko County Indiana in terms of geography. Options: a. adjacent to and northeast of b. they intersect c. northwest of d. adjacent to and east of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Tarrant County Texas in relation to Hood County Texas in terms of geography. Options: a. northeast of b. they intersect c. adjacent to and southeast of d. adjacent to and northeast of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 83121 in relation to Zipcode 83101 in terms of geography. Options: a. adjacent to and south of b. east of c. west of d. north of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 91361 in relation to Zipcode 91360 in terms of geography. Options: a. contains b. south of c. west of d. adjacent to and south of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 80621 in relation to Zipcode 80651 in terms of geography. Options: a. north of b. adjacent to and northeast of c. southeast of d. south of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 11577 in relation to Zipcode 11568 in terms of geography. Options: a. adjacent to and west of b. southeast of c. adjacent to and north of d. northwest of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 06610 in relation to Zipcode 06615 in terms of geography. Options: a. adjacent to and northwest of b. they intersect c. northwest of d. north of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 06114 in relation to Zipcode 06106 in terms of geography. Options: a. adjacent to and east of b. southwest of c. adjacent to and west of d. east of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Bulloch County Georgia in relation to Zipcode 31322 in terms of geography. Options: a. north of b. northwest of c. inside of d. adjacent to and northeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 25670 in relation to Zipcode 41514 in terms of geography. Options: a. adjacent to and south of b. east of c. adjacent to and northeast of d. southeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Union County Mississippi in relation to Tippah County Mississippi in terms of geography. Options: a. adjacent to and east of b. adjacent to and south of c. south of d. adjacent to and north of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 75426 in relation to Zipcode 75550 in terms of geography. Options: a. south of b. east of c. adjacent to and northwest of d. contains e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 27932 in relation to Zipcode 27944 in terms of geography. Options: a. adjacent to and west of b. northeast of c. east of d. adjacent to and southeast of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 28532 in relation to Zipcode 28529 in terms of geography. Options: a. inside of b. adjacent to and south of c. southwest of d. adjacent to and northeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Mahaska County Iowa in relation to Keokuk County Iowa in terms of geography. Options: a. northeast of b. southeast of c. adjacent to and west of d. inside of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Linn County Missouri in relation to Zipcode 64631 in terms of geography. Options: a. west of b. intersects with c. northeast of d. adjacent to and northeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 44115 in relation to Zipcode 44113 in terms of geography. Options: a. adjacent to and south of b. northeast of c. adjacent to and north of d. adjacent to and east of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Stanton County Nebraska in relation to Zipcode 68791 in terms of geography. Options: a. southeast of b. northwest of c. inside of d. adjacent to and northwest of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of The State of Arizona in relation to Zipcode 86540 in terms of geography. Options: a. inside of b. east of c. adjacent to and northwest of d. contains e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 17749 in relation to Zipcode 17772 in terms of geography. Options: a. northwest of b. adjacent to and north of c. adjacent to and southeast of d. southwest of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 27923 in relation to Zipcode 27927 in terms of geography. Options: a. they intersect b. northeast of c. adjacent to and southwest of d. contains e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 05156 in relation to Zipcode 05151 in terms of geography. Options: a. north of b. adjacent to and south of c. adjacent to and southeast of d. southwest of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Saint Charles County Missouri in relation to Zipcode 63115 in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and northwest of c. adjacent to and west of d. contains e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Pottawatomie County Kansas in relation to Clay County Kansas in terms of geography. Options: a. adjacent to and south of b. contains c. east of d. adjacent to and northeast of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 96051 in relation to Zipcode 96069 in terms of geography. Options: a. west of b. east of c. northwest of d. they intersect e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 68838 in relation to Zipcode 68869 in terms of geography. Options: a. south of b. southeast of c. adjacent to and northeast of d. adjacent to and south of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 13060 in relation to Zipcode 13108 in terms of geography. Options: a. adjacent to and northwest of b. east of c. contains d. adjacent to and south of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Buffalo County Nebraska in relation to Kearney County Nebraska in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and north of c. east of d. northeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 55303 in relation to Zipcode 55070 in terms of geography. Options: a. adjacent to and south of b. east of c. adjacent to and northwest of d. they intersect e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 33068 in relation to Zipcode 33319 in terms of geography. Options: a. adjacent to and south of b. contains c. adjacent to and north of d. they intersect e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 82801 in relation to Zipcode 82835 in terms of geography. Options: a. southwest of b. adjacent to and south of c. northeast of d. adjacent to and west of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Saginaw County Michigan in relation to Zipcode 48420 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and south of c. intersects with d. northwest of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Harrison County Kentucky in relation to Grant County Kentucky in terms of geography. Options: a. east of b. adjacent to and southeast of c. inside of d. northeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 21648 in relation to Zipcode 21622 in terms of geography. Options: a. adjacent to and south of b. adjacent to and west of c. northwest of d. adjacent to and southeast of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Guadalupe County Texas in relation to Zipcode 78638 in terms of geography. Options: a. south of b. southeast of c. northeast of d. adjacent to and southwest of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 13316 in relation to Zipcode 13440 in terms of geography. Options: a. west of b. adjacent to and northwest of c. adjacent to and north of d. northwest of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 67354 in relation to Zipcode 67335 in terms of geography. Options: a. adjacent to and south of b. west of c. contains d. adjacent to and northeast of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 74963 in relation to Zipcode 74957 in terms of geography. Options: a. adjacent to and southeast of b. south of c. they intersect d. east of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 18240 in relation to Zipcode 18218 in terms of geography. Options: a. northeast of b. adjacent to and south of c. adjacent to and northeast of d. they intersect e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 58266 in relation to Zipcode 58212 in terms of geography. Options: a. adjacent to and east of b. adjacent to and northwest of c. north of d. adjacent to and northeast of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 97830 in relation to Zipcode 97823 in terms of geography. Options: a. adjacent to and south of b. contains c. east of d. adjacent to and northeast of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 40216 in relation to Zipcode 40214 in terms of geography. Options: a. adjacent to and southeast of b. northeast of c. adjacent to and east of d. adjacent to and northwest of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Lawrence County Kentucky in relation to Zipcode 41257 in terms of geography. Options: a. west of b. adjacent to and east of c. adjacent to and northeast of d. southeast of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of The State of California in relation to Zipcode 92111 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and northwest of c. adjacent to and southeast of d. contains e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Jefferson County Missouri in relation to Zipcode 63090 in terms of geography. Options: a. adjacent to and east of b. they intersect c. southeast of d. adjacent to and northeast of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 13803 in relation to Zipcode 13736 in terms of geography. Options: a. adjacent to and west of b. southeast of c. northwest of d. northeast of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Limestone County Alabama in relation to Zipcode 35615 in terms of geography. Options: a. southeast of b. adjacent to and north of c. east of d. west of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Bergen County New Jersey in relation to Queens County New York in terms of geography. Options: a. northwest of b. adjacent to and southwest of c. southwest of d. contains e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of The State of Iowa in relation to Zipcode 56129 in terms of geography. Options: a. east of b. adjacent to and southeast of c. southeast of d. contains e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 44691 in relation to Zipcode 44214 in terms of geography. Options: a. east of b. adjacent to and south of c. adjacent to and southwest of d. southwest of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of The State of New York in relation to Zipcode 11947 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and southeast of c. adjacent to and southwest of d. northwest of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Saint Joseph County Michigan in relation to Zipcode 49075 in terms of geography. Options: a. contains b. south of c. southwest of d. west of e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Lyon County Nevada in relation to Zipcode 93517 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and north of c. adjacent to and southeast of d. east of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Harlan County Nebraska in relation to Zipcode 67622 in terms of geography. Options: a. inside of b. north of c. adjacent to and south of d. southeast of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Santa Clara County California in relation to Zipcode 94043 in terms of geography. Options: a. adjacent to and southeast of b. adjacent to and south of c. contains d. adjacent to and northwest of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 98575 in relation to Zipcode 98526 in terms of geography. Options: a. adjacent to and east of b. adjacent to and northeast of c. adjacent to and southwest of d. they intersect e. none of the above,a
Query: Select exactly one option (a-e) that best describes the relationship of Sussex County New Jersey in relation to Zipcode 10992 in terms of geography. Options: a. inside of b. west of c. southwest of d. east of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 87124 in relation to Zipcode 87114 in terms of geography. Options: a. contains b. adjacent to and northwest of c. northwest of d. southwest of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Richmond city Virginia in relation to Zipcode 23223 in terms of geography. Options: a. adjacent to and north of b. contains c. intersects with d. north of e. none of the above,c
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 53532 in relation to Zipcode 53590 in terms of geography. Options: a. inside of b. adjacent to and west of c. adjacent to and east of d. adjacent to and southeast of e. none of the above,b
Query: Select exactly one option (a-e) that best describes the relationship of Ulster County New York in relation to Zipcode 12747 in terms of geography. Options: a. adjacent to and southwest of b. northeast of c. adjacent to and south of d. southwest of e. none of the above,e
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 03905 in relation to Zipcode 03909 in terms of geography. Options: a. north of b. southeast of c. northeast of d. adjacent to and south of e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Hartford County Connecticut in relation to Zipcode 06093 in terms of geography. Options: a. adjacent to and east of b. southwest of c. adjacent to and southwest of d. contains e. none of the above,d
Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 26142 in relation to Zipcode 26180 in terms of geography. Options: a. they intersect b. adjacent to and west of c. contains d. northwest of e. none of the above,b
