type,query,truth
radio,Query: Select exactly one option (a-e) that best describes the relationship of Treutlen County Georgia in relation to Zipcode 31075 in terms of geography. Options: a. east of b. adjacent to and north of c. adjacent to and east of d. inside of e. none of the above,a
checkbox,Query: Select all options that are southeast of Zipcode 26338? You may choose one or more options. Options: a. Zipcode 26452 b. Zipcode 26385 c. Zipcode 26321 d. Zipcode 26411 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and northeast of Elk County Pennsylvania? You may choose one or more options. Options: a. Centre County Pennsylvania b. Zipcode 16332 c. Jefferson County Pennsylvania d. Clearfield County Pennsylvania e. None of the above,c
checkbox,Query: Select all options that intersect with Howard County Missouri? You may choose one or more options. Options: a. Zipcode 65274 b. Zipcode 65257 c. Zipcode 65256 d. Zipcode 65230 e. None of the above,"a,b,c,d"
yes/no,Is Montgomery County Mississippi north of Zipcode 38929?,no
checkbox,Query: Select all options that are southeast of Zipcode 30035? You may choose one or more options. Options: a. Zipcode 30088 b. Zipcode 30038 c. Zipcode 30083 d. Zipcode 30087 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and north of Zipcode 28103? You may choose one or more options. Options: a. Zipcode 28110 b. Zipcode 28128 c. Zipcode 28133 d. Zipcode 29728 e. None of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 75013 in relation to Zipcode 75002 in terms of geography. Options: a. adjacent to and west of b. inside of c. northwest of d. south of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Lawrence County Alabama in relation to Zipcode 35661 in terms of geography. Options: a. south of b. adjacent to and southeast of c. northwest of d. adjacent to and northwest of e. none of the above,b
yes/no,Is Zipcode 40214 adjacent to and south of Zipcode 40215?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 24827 in relation to Zipcode 25208 in terms of geography. Options: a. northeast of b. adjacent to and south of c. adjacent to and southeast of d. adjacent to and west of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Canadian County Oklahoma in relation to Zipcode 73044 in terms of geography. Options: a. they intersect b. northwest of c. inside of d. southwest of e. none of the above,d
yes/no,Is Zipcode 83522 adjacent to and northeast of Zipcode 83533?,no
yes/no,Is Zipcode 16340 northwest of Zipcode 16405?,no
yes/no,"The State of Mississippi contains Zipcode 39117, correct?",yes
checkbox,Query: Select all options that are southwest of Zipcode 68954? You may choose one or more options. Options: a. Zipcode 68944 b. Zipcode 68980 c. Zipcode 68901 d. Zipcode 68818 e. None of the above,d
checkbox,Query: Select all options that are adjacent to and northwest of Ralls County Missouri? You may choose one or more options. Options: a. Pike County Missouri b. Zipcode 63339 c. Zipcode 62366 d. Zipcode 65265 e. None of the above,"a,b"
checkbox,Query: Select all options that are northeast of Inyo County California? You may choose one or more options. Options: a. Zipcode 93285 b. Zipcode 93260 c. Zipcode 93226 d. Zipcode 89134 e. None of the above,"a,b,c"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 15725 in relation to Zipcode 15701 in terms of geography. Options: a. southwest of b. adjacent to and northeast of c. adjacent to and northwest of d. they intersect e. none of the above,a
yes/no,Is Zipcode 04841 adjacent to and north of Zipcode 04856?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 11366 in relation to Zipcode 11424 in terms of geography. Options: a. inside of b. adjacent to and northeast of c. east of d. north of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Salem County New Jersey in relation to Zipcode 19317 in terms of geography. Options: a. adjacent to and south of b. contains c. adjacent to and northwest of d. southeast of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 68838 in relation to Zipcode 68869 in terms of geography. Options: a. south of b. southeast of c. adjacent to and northeast of d. adjacent to and south of e. none of the above,e
yes/no,Is Zipcode 57234 adjacent to and northeast of Zipcode 57226?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of New York in relation to Zipcode 11947 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and southeast of c. adjacent to and southwest of d. northwest of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Adams County Iowa in relation to Cass County Iowa in terms of geography. Options: a. north of b. adjacent to and southeast of c. adjacent to and west of d. adjacent to and northwest of e. none of the above,b
checkbox,Query: Select all options that are southeast of Zipcode 40741? You may choose one or more options. Options: a. Zipcode 42503 b. Zipcode 40935 c. Zipcode 40743 d. Zipcode 40402 e. None of the above,e
yes/no,Is Zipcode 95111 adjacent to and west of Zipcode 95125?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 19355 in relation to Zipcode 19312 in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and west of c. southeast of d. contains e. none of the above,b
yes/no,Is Fayette County Indiana northeast of Zipcode 47374?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 94952 in relation to Zipcode 94922 in terms of geography. Options: a. adjacent to and east of b. adjacent to and southeast of c. adjacent to and northeast of d. contains e. none of the above,b
checkbox,Query: Select all options that are east of Zipcode 20781? You may choose one or more options. Options: a. Zipcode 20784 b. Zipcode 20002 c. Zipcode 20018 d. Zipcode 20019 e. None of the above,e
yes/no,Is Harlan County Kentucky adjacent to and west of The State of Virginia?,yes
yes/no,Is Zipcode 91326 adjacent to and west of Zipcode 91344?,yes
checkbox,Query: Select all options that are adjacent to and northeast of Etowah County Alabama? You may choose one or more options. Options: a. Cherokee County Alabama b. Zipcode 35987 c. Saint Clair County Alabama d. Zipcode 35049 e. None of the above,"b,c"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 07650 in relation to Zipcode 07632 in terms of geography. Options: a. adjacent to and southeast of b. south of c. southwest of d. northeast of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Waller County Texas in relation to Zipcode 77024 in terms of geography. Options: a. adjacent to and south of b. northeast of c. southwest of d. northwest of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and southwest of Roane County West Virginia? You may choose one or more options. Options: a. Calhoun County West Virginia b. Zipcode 25234 c. Zipcode 26151 d. Zipcode 26141 e. None of the above,"a,b,c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 12008 in relation to Zipcode 12308 in terms of geography. Options: a. adjacent to and north of b. adjacent to and southeast of c. east of d. inside of e. none of the above,a
checkbox,Query: Select all options that are adjacent to and south of Nueces County Texas? You may choose one or more options. Options: a. Zipcode 78372 b. Refugio County Texas c. Live Oak County Texas d. Calhoun County Texas e. None of the above,e
yes/no,Is Zipcode 68448 north of Zipcode 68382?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 76272 in relation to Zipcode 76249 in terms of geography. Options: a. adjacent to and northeast of b. east of c. northeast of d. southwest of e. none of the above,c
yes/no,"Dickson County Tennessee contains Zipcode 37029, correct?",yes
yes/no,Is Clark County Missouri northeast of Zipcode 52627?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Berkeley County West Virginia in relation to Zipcode 21779 in terms of geography. Options: a. south of b. adjacent to and northwest of c. west of d. adjacent to and north of e. none of the above,c
yes/no,Is Marion County Ohio northwest of Zipcode 43351?,no
yes/no,Is Zipcode 34607 adjacent to and north of Zipcode 34667?,yes
checkbox,Query: Select all options that are adjacent to and northwest of Jefferson County Iowa? You may choose one or more options. Options: a. Henry County Iowa b. Zipcode 52580 c. Zipcode 52576 d. Washington County Iowa e. None of the above,e
yes/no,"Cuyahoga County Ohio contains Zipcode 44134, correct?",yes
yes/no,Is Zipcode 75491 adjacent to and southwest of Zipcode 75439?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 52777 in relation to Zipcode 52721 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and east of c. north of d. adjacent to and northeast of e. none of the above,d
yes/no,"The State of New York is inside of Zipcode 10461, correct?",no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 72738 in relation to Zipcode 72764 in terms of geography. Options: a. adjacent to and east of b. east of c. northeast of d. adjacent to and south of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 93441 in relation to Zipcode 93427 in terms of geography. Options: a. inside of b. adjacent to and south of c. adjacent to and west of d. northwest of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Harlan County Nebraska in relation to Zipcode 67622 in terms of geography. Options: a. inside of b. north of c. adjacent to and south of d. southeast of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 43566? You may choose one or more options. Options: a. Zipcode 43551 b. Zipcode 43571 c. Zipcode 43558 d. Zipcode 43537 e. None of the above,e
yes/no,Is Zipcode 56169 adjacent to and southwest of Zipcode 56157?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Menard County Texas in relation to Zipcode 76950 in terms of geography. Options: a. adjacent to and east of b. inside of c. northwest of d. adjacent to and southwest of e. none of the above,e
yes/no,"Sullivan County New York has no common ground with Zipcode 12740, correct?",no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 53126 in relation to Zipcode 53185 in terms of geography. Options: a. adjacent to and west of b. adjacent to and north of c. inside of d. west of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Northampton County Pennsylvania in relation to Zipcode 18066 in terms of geography. Options: a. west of b. adjacent to and southwest of c. northeast of d. east of e. none of the above,d
checkbox,Query: Select all options that are north of The State of Maryland? You may choose one or more options. Options: a. Zipcode 21734 b. Zipcode 22201 c. Zipcode 21531 d. Zipcode 22193 e. None of the above,e
yes/no,Is Zipcode 20670 west of Zipcode 20619?,no
yes/no,"Kandiyohi County Minnesota intersects with Zipcode 56289, correct?",yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 46574 in relation to Zipcode 46563 in terms of geography. Options: a. adjacent to and north of b. adjacent to and northwest of c. southeast of d. they intersect e. none of the above,b
yes/no,Is Zipcode 95636 northwest of Zipcode 95223?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Dallas County Alabama in relation to Zipcode 36051 in terms of geography. Options: a. adjacent to and west of b. east of c. they intersect d. northeast of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of McHenry County Illinois in relation to Zipcode 60021 in terms of geography. Options: a. adjacent to and southwest of b. northeast of c. east of d. northwest of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Borden County Texas in relation to Zipcode 79748 in terms of geography. Options: a. adjacent to and northwest of b. northeast of c. adjacent to and north of d. adjacent to and south of e. none of the above,b
yes/no,Is Zipcode 56531 northwest of Zipcode 56343?,yes
yes/no,Is Zipcode 63134 adjacent to and west of Zipcode 63074?,no
yes/no,"Citrus County Florida intersects with Zipcode 34433, correct?",yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Marshall County Kentucky in relation to Zipcode 42045 in terms of geography. Options: a. adjacent to and east of b. north of c. adjacent to and south of d. adjacent to and northeast of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 83121 in relation to Zipcode 83101 in terms of geography. Options: a. adjacent to and south of b. east of c. west of d. north of e. none of the above,a
checkbox,Query: Select all options that are west of Custer County Colorado? You may choose one or more options. Options: a. Pueblo County Colorado b. Zipcode 81040 c. Zipcode 81131 d. Huerfano County Colorado e. None of the above,e
checkbox,Query: Select all options that are adjacent to and southeast of The State of Alabama? You may choose one or more options. Options: a. Zipcode 36376 b. Zipcode 38372 c. Zipcode 38326 d. Zipcode 38847 e. None of the above,"b,c,d"
checkbox,Query: Select all options that are southwest of Zipcode 91343? You may choose one or more options. Options: a. Zipcode 91331 b. Zipcode 91402 c. Zipcode 91325 d. Zipcode 91406 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 85377 in relation to Zipcode 85266 in terms of geography. Options: a. adjacent to and southeast of b. adjacent to and east of c. adjacent to and northeast of d. adjacent to and northwest of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 28435 in relation to Zipcode 28425 in terms of geography. Options: a. adjacent to and west of b. adjacent to and southwest of c. inside of d. west of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Ottawa County Oklahoma in relation to Zipcode 64850 in terms of geography. Options: a. adjacent to and northeast of b. they intersect c. adjacent to and southwest of d. west of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Baltimore city Maryland in relation to Zipcode 21214 in terms of geography. Options: a. east of b. adjacent to and southwest of c. adjacent to and west of d. contains e. none of the above,d
yes/no,"The State of New Mexico is inside of Zipcode 87831, correct?",no
checkbox,Query: Select all options that are adjacent to and north of Taos County New Mexico? You may choose one or more options. Options: a. Zipcode 87729 b. Zipcode 87512 c. Zipcode 87715 d. Zipcode 87510 e. None of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 18240 in relation to Zipcode 18218 in terms of geography. Options: a. northeast of b. adjacent to and south of c. adjacent to and northeast of d. they intersect e. none of the above,c
checkbox,Query: Select all options that are adjacent to and northwest of Zipcode 27946? You may choose one or more options. Options: a. Zipcode 27944 b. Zipcode 27980 c. Zipcode 27942 d. Zipcode 27979 e. None of the above,e
yes/no,Is Zipcode 66938 adjacent to and north of Zipcode 67466?,yes
yes/no,Is The State of Illinois northwest of Zipcode 42404?,yes
checkbox,Query: Select all options that are adjacent to and northeast of Washington County Ohio? You may choose one or more options. Options: a. Wood County West Virginia b. Zipcode 26180 c. Zipcode 45744 d. Zipcode 43915 e. None of the above,e
checkbox,Query: Select all options that intersect with Hartford County Connecticut? You may choose one or more options. Options: a. Zipcode 06120 b. Zipcode 06002 c. Zipcode 06438 d. Zipcode 06059 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 08857 in relation to Zipcode 07747 in terms of geography. Options: a. adjacent to and west of b. northeast of c. adjacent to and south of d. adjacent to and east of e. none of the above,a
checkbox,Query: Select all options that are adjacent to and west of Zipcode 30297? You may choose one or more options. Options: a. Zipcode 30260 b. Zipcode 30337 c. Zipcode 30349 d. Zipcode 30294 e. None of the above,d
yes/no,Is Zipcode 60502 adjacent to and southeast of Zipcode 60504?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 99645 in relation to Zipcode 99688 in terms of geography. Options: a. northwest of b. east of c. south of d. southwest of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 53570 in relation to Zipcode 53516 in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and south of c. adjacent to and west of d. adjacent to and east of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 33930 in relation to Zipcode 33913 in terms of geography. Options: a. adjacent to and southeast of b. southeast of c. adjacent to and south of d. adjacent to and east of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 20706? You may choose one or more options. Options: a. Zipcode 20019 b. Zipcode 20770 c. Zipcode 20769 d. Zipcode 20785 e. None of the above,d
yes/no,Is Zipcode 20147 adjacent to and west of Zipcode 20165?,yes
checkbox,Query: Select all options that are southeast of Zipcode 81423? You may choose one or more options. Options: a. Zipcode 81424 b. Zipcode 81430 c. Zipcode 81431 d. Zipcode 81323 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Bristol County Massachusetts in relation to Zipcode 02896 in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and west of c. adjacent to and northwest of d. contains e. none of the above,e
checkbox,Query: Select all options that are adjacent to and east of Gallatin County Kentucky? You may choose one or more options. Options: a. Zipcode 41008 b. Zipcode 41046 c. Owen County Kentucky d. Zipcode 41086 e. None of the above,e
checkbox,Query: Select all options that are northwest of The State of Illinois? You may choose one or more options. Options: a. Zipcode 42369 b. Zipcode 47546 c. Zipcode 47438 d. Zipcode 47711 e. None of the above,"a,b,c,d"
checkbox,Query: Select all options that are north of San Benito County California? You may choose one or more options. Options: a. Zipcode 93610 b. Zipcode 93906 c. Zipcode 93622 d. Zipcode 93925 e. None of the above,e
yes/no,Is Burleigh County North Dakota adjacent to and northwest of Zipcode 58577?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 06235 in relation to Zipcode 06331 in terms of geography. Options: a. south of b. they intersect c. adjacent to and north of d. northwest of e. none of the above,d
yes/no,Is Wise County Virginia adjacent to and west of Harlan County Kentucky?,no
checkbox,Query: Select all options that are adjacent to and southwest of Zipcode 25526? You may choose one or more options. Options: a. Zipcode 25521 b. Zipcode 25523 c. Zipcode 25571 d. Zipcode 25213 e. None of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 81004 in relation to Zipcode 81023 in terms of geography. Options: a. adjacent to and north of b. adjacent to and south of c. inside of d. adjacent to and east of e. none of the above,d
yes/no,Is Zipcode 63827 adjacent to and north of Zipcode 63848?,no
checkbox,Query: Select all options that are adjacent to and southwest of Hickman County Tennessee? You may choose one or more options. Options: a. Zipcode 37221 b. Zipcode 37062 c. Zipcode 37134 d. Zipcode 37064 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of New Jersey in relation to Zipcode 19055 in terms of geography. Options: a. contains b. east of c. adjacent to and east of d. inside of e. none of the above,b
checkbox,Query: Select all options that are adjacent to and northwest of Livingston County New York? You may choose one or more options. Options: a. Zipcode 14167 b. Zipcode 14480 c. Zipcode 14130 d. Monroe County New York e. None of the above,e
yes/no,Is Zipcode 95023 northeast of Zipcode 93901?,yes
yes/no,Is Zipcode 95568 west of Zipcode 96032?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Bedford County Tennessee in relation to Zipcode 38451 in terms of geography. Options: a. adjacent to and southwest of b. they intersect c. adjacent to and northeast of d. north of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 10597 in relation to Zipcode 06877 in terms of geography. Options: a. adjacent to and west of b. northeast of c. adjacent to and east of d. southeast of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 16214 in relation to Zipcode 16232 in terms of geography. Options: a. adjacent to and southeast of b. southeast of c. adjacent to and east of d. contains e. none of the above,c
checkbox,Query: Select all options that are south of Zipcode 95135? You may choose one or more options. Options: a. Zipcode 95138 b. Zipcode 95037 c. Zipcode 94550 d. Zipcode 95148 e. None of the above,c
checkbox,Query: Select all options that are southwest of Zipcode 16116? You may choose one or more options. Options: a. Zipcode 16155 b. Zipcode 16142 c. Zipcode 16101 d. Zipcode 44442 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Tuscarawas County Ohio in relation to Zipcode 44687 in terms of geography. Options: a. adjacent to and west of b. west of c. adjacent to and southwest of d. east of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and north of Zipcode 77590? You may choose one or more options. Options: a. Zipcode 77539 b. Zipcode 77591 c. Zipcode 77563 d. Zipcode 77568 e. None of the above,e
yes/no,Is Zipcode 67511 adjacent to and south of Zipcode 67565?,yes
checkbox,Query: Select all options that are inside of Tyler County West Virginia? You may choose one or more options. Options: a. Zipcode 26426 b. Zipcode 26362 c. Zipcode 26582 d. Zipcode 26346 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Crawford County Arkansas in relation to Washington County Arkansas in terms of geography. Options: a. adjacent to and northeast of b. they intersect c. adjacent to and south of d. contains e. none of the above,c
yes/no,Is Zipcode 54635 west of Zipcode 54754?,yes
yes/no,"The State of Washington is inside of Zipcode 99114, correct?",no
yes/no,Is Zipcode 67554 adjacent to and southwest of Zipcode 67512?,no
yes/no,Is Zipcode 57436 adjacent to and southwest of Zipcode 57348?,no
yes/no,Is Zipcode 70578 adjacent to and east of Zipcode 70529?,no
yes/no,Is Hudson County New Jersey adjacent to and northeast of Zipcode 07201?,yes
yes/no,Is Zipcode 08080 adjacent to and north of Zipcode 08028?,yes
checkbox,Query: Select all options that are adjacent to and northwest of Washington County Tennessee? You may choose one or more options. Options: a. Hawkins County Tennessee b. The State of North Carolina c. Zipcode 28705 d. Zipcode 37650 e. None of the above,e
yes/no,"The State of Wisconsin is inside of Zipcode 53066, correct?",no
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 45229? You may choose one or more options. Options: a. Zipcode 45232 b. Zipcode 45220 c. Zipcode 45224 d. Zipcode 45209 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and south of The State of Florida? You may choose one or more options. Options: a. Zipcode 31773 b. Zipcode 33953 c. Zipcode 32502 d. Zipcode 34475 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 69044? You may choose one or more options. Options: a. Zipcode 69024 b. Zipcode 67730 c. Zipcode 69043 d. Zipcode 67744 e. None of the above,e
yes/no,Is Zipcode 25427 adjacent to and east of Zipcode 25419?,no
checkbox,Query: Select all options that are adjacent to and south of Graves County Kentucky? You may choose one or more options. Options: a. Henry County Tennessee b. Zipcode 38224 c. Obion County Tennessee d. Zipcode 42058 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 72515 in relation to Zipcode 72576 in terms of geography. Options: a. adjacent to and east of b. adjacent to and west of c. northwest of d. adjacent to and southeast of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of California in relation to Zipcode 92111 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and northwest of c. adjacent to and southeast of d. contains e. none of the above,d
yes/no,Is Zipcode 07974 east of Zipcode 07092?,no
checkbox,Query: Select all options that are adjacent to and west of Zipcode 71473? You may choose one or more options. Options: a. Zipcode 71483 b. Zipcode 71226 c. Zipcode 71251 d. Zipcode 71418 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 61953 in relation to Zipcode 61942 in terms of geography. Options: a. west of b. northwest of c. southeast of d. north of e. none of the above,a
checkbox,Query: Select all options that are southeast of Martin County Kentucky? You may choose one or more options. Options: a. Zipcode 41159 b. Zipcode 41257 c. Zipcode 41264 d. Zipcode 41124 e. None of the above,"a,b,c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Guayanilla Municipio Puerto Rico in relation to Zipcode 00715 in terms of geography. Options: a. they intersect b. southeast of c. adjacent to and east of d. south of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Santa Clara County California in relation to Zipcode 94043 in terms of geography. Options: a. adjacent to and southeast of b. adjacent to and south of c. contains d. adjacent to and northwest of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Marion County Iowa in relation to Zipcode 50251 in terms of geography. Options: a. east of b. inside of c. west of d. adjacent to and southeast of e. none of the above,e
yes/no,Is Zipcode 00959 adjacent to and south of Zipcode 00956?,no
checkbox,Query: Select all options that are southeast of New York County New York? You may choose one or more options. Options: a. Zipcode 11576 b. Zipcode 07657 c. Zipcode 10470 d. Zipcode 11378 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Laurens County South Carolina in relation to Zipcode 29639 in terms of geography. Options: a. west of b. adjacent to and west of c. northeast of d. adjacent to and southwest of e. none of the above,c
checkbox,Query: Select all options that are adjacent to and west of Zipcode 78250? You may choose one or more options. Options: a. Zipcode 78240 b. Zipcode 78023 c. Zipcode 78251 d. Zipcode 78228 e. None of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Camden County New Jersey in relation to The State of Maryl in terms of geography. Options: a. southeast of b. south of c. adjacent to and southwest of d. northeast of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 94709 in relation to Zipcode 94705 in terms of geography. Options: a. northeast of b. adjacent to and southwest of c. adjacent to and southeast of d. inside of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and east of Merced County California? You may choose one or more options. Options: a. Zipcode 95348 b. Zipcode 95386 c. Santa Clara County California d. Zipcode 93668 e. None of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 60104 in relation to Zipcode 60165 in terms of geography. Options: a. west of b. adjacent to and west of c. east of d. south of e. none of the above,d
yes/no,Is Zipcode 78150 southwest of Zipcode 78108?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Nebraska in relation to Zipcode 69366 in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and west of c. they intersect d. adjacent to and east of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 60969 in relation to Zipcode 60941 in terms of geography. Options: a. northeast of b. adjacent to and northeast of c. adjacent to and east of d. east of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 22511 in relation to Zipcode 22460 in terms of geography. Options: a. contains b. adjacent to and south of c. south of d. northeast of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Cameron County Pennsylvania in relation to Zipcode 15868 in terms of geography. Options: a. adjacent to and northeast of b. west of c. northwest of d. adjacent to and east of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 37042 in relation to Zipcode 42223 in terms of geography. Options: a. adjacent to and west of b. they intersect c. southwest of d. adjacent to and southeast of e. none of the above,d
yes/no,Is Zipcode 12108 adjacent to and southeast of Zipcode 12190?,no
checkbox,Query: Select all options that are northeast of Zipcode 25111? You may choose one or more options. Options: a. Zipcode 26656 b. Zipcode 25088 c. Zipcode 25125 d. Zipcode 26651 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Door County Wisconsin in relation to Zipcode 54204 in terms of geography. Options: a. adjacent to and north of b. northeast of c. contains d. south of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Carroll County Maryland in relation to Zipcode 21120 in terms of geography. Options: a. adjacent to and east of b. contains c. west of d. inside of e. none of the above,c
yes/no,"The State of Pennsylvania contains Zipcode 18325, correct?",yes
